step,mode,ic_seed,reward,cum_reward,dose,cum_dose,number_tumor,action_dose
0,POMDP,1000,-0.0001104719003882568,-0.0001104719003882568,5.52359501941284e-05,5.52359501941284e-05,124,0.0020682215690612793
1,POMDP,1000,-0.0038143117651887734,-0.00392478366557703,0.0019071558825943867,0.001962391832788515,124,0.06881365180015564
2,POMDP,1000,-0.0038143117651887734,-0.007739095430765804,0.0019071558825943867,0.003869547715382902,124,0.06881365180015564
3,POMDP,1000,-0.5420380555715258,-0.5497771510022916,0.0019071558825943867,0.0057767035979772886,125,0.06881365180015564
4,POMDP,1000,-0.003915471434743376,-0.553692622437035,0.001957735717371688,0.007734439315348977,125,0.06584960222244263
5,POMDP,1000,-0.003915471434743376,-0.5576080938717783,0.001957735717371688,0.009692175032720666,125,0.06584960222244263
6,POMDP,1000,-0.003915471434743376,-0.5615235653065217,0.001957735717371688,0.011649910750092354,125,0.06584960222244263
7,POMDP,1000,-0.003915471434743376,-0.565439036741265,0.001957735717371688,0.013607646467464042,125,0.06584960222244263
8,POMDP,1000,0.530002482421143,-0.03543655432012205,0.001957735717371688,0.015565382184835731,124,0.06584960222244263
9,POMDP,1000,-0.004403796310717947,-0.039840350630839995,0.0022018981553589734,0.017767280340194706,124,0.06881365180015564
10,POMDP,1000,-0.004403796310717947,-0.04424414694155794,0.0022018981553589734,0.01996917849555368,124,0.06881365180015564
11,POMDP,1000,0.5338199474956191,0.4895758005540612,0.0022018981553589734,0.02217107665091265,123,0.06881365180015564
12,POMDP,1000,-0.004917617242442597,0.4846581833116186,0.0024588086212212986,0.02462988527213395,123,0.07123365998268127
13,POMDP,1000,0.537681929359068,1.0223401126706866,0.0024588086212212986,0.02708869389335525,122,0.07123365998268127
14,POMDP,1000,-0.006666164008938536,1.015673948661748,0.003333082004469268,0.03042177589782452,122,0.0918680727481842
15,POMDP,1000,0.5403809198597976,1.5560548685215458,0.003333082004469268,0.03375485790229379,121,0.0918680727481842
16,POMDP,1000,1.0944059709311384,2.650460839452684,0.004365148683073659,0.03812000658536745,119,0.125545471906662
17,POMDP,1000,-0.5728419091980819,2.0776189302546024,0.006001861187335856,0.0441218677727033,120,0.17261874675750732
18,POMDP,1000,0.5459472778086624,2.6235662080632647,0.005108628728942986,0.049230496501646286,119,0.15597036480903625
19,POMDP,1000,-0.010525002951704906,2.6130412051115597,0.005262501475852453,0.054492997977498736,119,0.17261874675750732
20,POMDP,1000,-0.010525002951704906,2.6025162021598547,0.005262501475852453,0.05975549945335119,119,0.17261874675750732
21,POMDP,1000,0.5503131838717052,3.15282938603156,0.005262501475852453,0.06501800092920364,118,0.17261874675750732
22,POMDP,1000,-0.009853390669396195,3.142975995362164,0.004926695334698097,0.06994469626390173,118,0.1576939821243286
23,POMDP,1000,0.5557376621440429,3.698713657506207,0.004926695334698097,0.07487139159859983,117,0.1576939821243286
