x,y,z,type
38,45,0,tumor
46,50,0,tumor
12,53,0,tumor
0,48,0,tumor
18,47,0,tumor
18,52,0,tumor
18,40,0,tumor
36,52,0,tumor
24,51,0,tumor
54,52,0,tumor
28,39,0,tumor
40,41,0,tumor
25,45,0,tumor
5,55,0,tumor
26,41,0,tumor
2,44,0,tumor
46,35,0,tumor
40,54,0,tumor
16,42,0,tumor
55,42,0,tumor
0,50,0,tumor
50,39,0,tumor
15,54,0,tumor
11,55,0,tumor
23,37,0,tumor
36,50,0,tumor
5,41,0,tumor
31,48,0,tumor
31,33,0,tumor
22,29,0,tumor
49,41,0,tumor
20,54,0,tumor
39,54,0,tumor
16,36,0,tumor
14,55,0,tumor
35,41,0,tumor
31,46,0,tumor
32,31,0,tumor
32,51,0,tumor
47,53,0,tumor
32,55,0,tumor
11,46,0,tumor
0,54,0,tumor
30,50,0,tumor
23,35,0,tumor
11,34,0,tumor
21,39,0,tumor
17,36,0,tumor
18,39,0,tumor
8,48,0,tumor
20,53,0,tumor
18,50,0,tumor
33,39,0,tumor
45,45,0,tumor
48,49,0,tumor
38,54,0,tumor
16,41,0,tumor
19,42,0,tumor
27,44,0,tumor
9,55,0,tumor
37,47,0,tumor
19,45,0,tumor
19,44,0,tumor
5,52,0,tumor
9,53,0,tumor
1,40,0,tumor
36,42,0,tumor
1,52,0,tumor
13,37,0,tumor
2,39,0,tumor
37,48,0,tumor
9,54,0,tumor
44,44,0,tumor
27,53,0,tumor
18,30,0,tumor
40,30,0,tumor
5,53,0,tumor
10,47,0,tumor
13,54,0,tumor
21,31,0,tumor
35,40,0,tumor
7,44,0,tumor
45,41,0,tumor
25,43,0,tumor
21,51,0,tumor
10,40,0,tumor
21,42,0,tumor
20,36,0,tumor
12,45,0,tumor
0,53,0,tumor
17,41,0,tumor
35,34,0,tumor
29,44,0,tumor
17,54,0,tumor
17,43,0,tumor
14,42,0,tumor
12,52,0,tumor
16,44,0,tumor
32,44,0,tumor
29,36,0,tumor
18,53,0,tumor
52,54,0,tumor
51,52,0,tumor
1,41,0,tumor
10,36,0,tumor
22,52,0,tumor
4,39,0,tumor
18,43,0,tumor
54,54,0,tumor
41,31,0,tumor
39,42,0,tumor
30,54,0,tumor
6,40,0,tumor
7,53,0,tumor
36,37,0,tumor
37,43,0,tumor
27,47,0,tumor
40,42,0,tumor
12,51,0,tumor
21,50,0,tumor
6,38,0,tumor
18,55,0,tumor
22,42,0,tumor
53,40,0,tumor
22,53,0,macrophage
13,15,0,macrophage
24,36,0,macrophage
27,49,0,macrophage
21,49,0,macrophage
2,52,0,macrophage
13,49,0,macrophage
14,43,0,macrophage
24,35,0,macrophage
27,46,0,macrophage
19,22,0,macrophage
8,51,0,macrophage
7,19,0,macrophage
21,37,0,macrophage
8,44,0,macrophage
0,34,0,macrophage
5,16,0,macrophage
12,6,0,macrophage
13,0,0,macrophage
27,31,0,macrophage
8,28,0,macrophage
1,30,0,macrophage
33,53,0,macrophage
10,13,0,macrophage
3,47,0,macrophage
27,55,0,macrophage
33,33,0,t_cell
54,23,0,t_cell
54,33,0,t_cell
31,36,0,t_cell
21,46,0,t_cell
16,52,0,t_cell
37,38,0,t_cell
41,37,0,t_cell
53,55,0,t_cell
53,15,0,t_cell
18,35,0,t_cell
8,43,0,t_cell
36,32,0,t_cell
25,37,0,t_cell
46,25,0,t_cell
17,48,0,t_cell
45,27,0,t_cell
43,48,0,t_cell
46,45,0,t_cell
54,20,0,t_cell
6,49,0,t_cell
49,26,0,t_cell
42,41,0,t_cell
42,25,0,t_cell
14,48,0,t_cell
53,46,0,t_cell
15,38,0,t_cell
53,47,0,t_cell
