direction,split,id,targeted_n,targeted_mu,full_n,full_mu,delta_full_minus_targeted
rect2net,train,RAND,5,-16.94778606677174,0,,
rect2net,train,POMDP,5,-20.36936706701609,5,-119.393560935144,-99.02419386812791
rect2net,train,S3m,5,48.17570530072372,5,-113.33107034518935,-161.50677564591308
rect2net,train,S3s,5,42.86075775150797,4,-112.500823803239,-155.36158155474698
rect2net,train,S3sm,5,38.31660878073592,5,-115.62006542159534,-153.93667420233126
rect2net,train,S5m,5,53.565056980797635,5,-115.43788252188888,-169.0029395026865
rect2net,train,I1,5,30.761278670716575,5,-116.71609789192453,-147.4773765626411
rect2net,train,I1m,5,35.023111517906365,5,-115.7355375299805,-150.75864904788688
rect2net,train,I2,5,45.34226061494401,5,-113.3938927927492,-158.73615340769322
rect2net,train,I2m,5,40.829220313039954,5,-113.77534592523,-154.60456623826997
rect2net,test,RAND,5,-25.91569283766926,0,,
rect2net,test,POMDP,5,-31.790355470807555,5,-108.79838391094282,-77.00802844013526
rect2net,test,S3m,5,1.9544228627164189,5,-167.43763704369377,-169.3920599064102
rect2net,test,S3s,5,-0.0148644237350611,4,-169.92521125467,-169.91034683093494
rect2net,test,S3sm,5,2.6498873263288933,5,-221.12237723375165,-223.77226456008054
rect2net,test,S5m,5,9.51684800427408,5,-219.9797058685769,-229.49655387285097
rect2net,test,I1,5,33.393710549845146,5,-136.13573138036696,-169.5294419302121
rect2net,test,I1m,5,25.9657337127139,5,-155.03829635731313,-181.00403007002703
rect2net,test,I2,5,32.66635787972612,5,-152.91094271292468,-185.5773005926508
rect2net,test,I2m,5,32.45580056391505,5,-152.14693536747632,-184.60273593139135
net2rect,train,RAND,5,-28.066011510371702,0,,
net2rect,train,POMDP,5,-24.388946736498646,4,-113.69444429101125,-89.30549755451261
net2rect,train,S3m,5,58.56991534346925,4,-116.62351622854028,-175.19343157200953
net2rect,train,S3s,5,38.99891799228849,3,-115.23695144489166,-154.23586943718016
net2rect,train,S3sm,5,43.85091180512719,4,-115.09073735376717,-158.94164915889436
net2rect,train,S5m,5,58.765948470975026,4,-115.52437447103762,-174.29032294201264
net2rect,train,I1,5,33.638844825671924,5,-113.00209642773657,-146.6409412534085
net2rect,train,I1m,5,40.46088327238415,4,-115.3067157133649,-155.76759898574903
net2rect,train,I2,5,61.93823616924916,5,-113.95484656693107,-175.89308273618022
net2rect,train,I2m,5,52.8433680140844,4,-115.42534798926262,-168.268716003347
net2rect,test,RAND,5,-16.735654289576047,0,,
net2rect,test,POMDP,5,-20.88218678165499,4,-119.61356796839006,-98.73138118673506
net2rect,test,S3m,5,34.004915762705004,4,-121.04614008762816,-155.05105585033317
net2rect,test,S3s,5,38.167715840643694,3,-131.28970306199574,-169.45741890263943
net2rect,test,S3sm,5,26.95453399334027,4,-123.63083717625456,-150.58537116959482
net2rect,test,S5m,5,43.215063364897084,4,-119.80044523492836,-163.01550859982544
net2rect,test,I1,5,20.31189276715556,5,-123.19496280813453,-143.5068555752901
net2rect,test,I1m,5,18.002350620868242,4,-123.31981708270465,-141.3221677035729
net2rect,test,I2,5,37.73646715693991,5,-122.78480054580862,-160.52126770274853
net2rect,test,I2m,5,23.956824354855836,4,-121.86434927974528,-145.8211736346011
