direction,split,id,n,curve_end,table_mu,delta
rect2net,train,RAND,5,-16.035717537066905,-16.94778606677174,0.9120685297048361
rect2net,train,POMDP,5,-20.23109981110692,-20.36936706701609,0.13826725590917022
rect2net,train,S3m,5,49.281930762888784,48.17570530072372,1.1062254621650638
rect2net,train,S3s,5,41.25705409710191,42.86075775150797,-1.6037036544060612
rect2net,train,S3sm,5,37.344453809696006,38.31660878073592,-0.9721549710399131
rect2net,train,S5m,5,55.234288275925394,53.565056980797635,1.6692312951277586
rect2net,train,I1,5,33.258656310023134,30.761278670716575,2.49737763930656
rect2net,train,I1m,5,35.27687522920198,35.023111517906365,0.2537637112956119
rect2net,train,I2,5,47.134063074014804,45.34226061494401,1.7918024590707944
rect2net,train,I2m,5,39.85639954833452,40.829220313039954,-0.9728207647054319
rect2net,test,RAND,5,-26.107978768889346,-25.91569283766926,-0.19228593122008775
rect2net,test,POMDP,5,-32.1756140528458,-31.790355470807555,-0.38525858203824725
rect2net,test,S3m,5,3.6211748018575287,1.9544228627164189,1.6667519391411099
rect2net,test,S3s,5,0.9151394970110622,-0.0148644237350611,0.9300039207461234
rect2net,test,S3sm,5,2.479511187638208,2.6498873263288933,-0.17037613869068524
rect2net,test,S5m,5,9.876191761499966,9.51684800427408,0.3593437572258864
rect2net,test,I1,5,34.370750533195235,33.393710549845146,0.9770399833500889
rect2net,test,I1m,5,26.657904807000268,25.9657337127139,0.692171094286369
rect2net,test,I2,5,32.963722033605805,32.66635787972612,0.29736415387968407
rect2net,test,I2m,5,33.78887662081036,32.45580056391505,1.3330760568953153
net2rect,train,RAND,5,-27.455192065081256,-28.066011510371702,0.6108194452904456
net2rect,train,POMDP,5,-24.988185841717716,-24.388946736498646,-0.5992391052190698
net2rect,train,S3m,5,57.38942568084038,58.56991534346925,-1.1804896626288652
net2rect,train,S3s,5,39.386792931126344,38.99891799228849,0.38787493883785373
net2rect,train,S3sm,5,43.92965655805041,43.85091180512719,0.07874475292322103
net2rect,train,S5m,5,56.46802565088101,58.765948470975026,-2.2979228200940156
net2rect,train,I1,5,31.777244005085663,33.638844825671924,-1.8616008205862613
net2rect,train,I1m,5,40.39086760568608,40.46088327238415,-0.07001566669806891
net2rect,train,I2,5,63.23465246000692,61.93823616924916,1.2964162907577617
net2rect,train,I2m,5,53.80689175314535,52.8433680140844,0.9635237390609532
net2rect,test,RAND,5,-18.213600982940193,-16.735654289576047,-1.4779466933641459
net2rect,test,POMDP,5,-20.926276733810617,-20.88218678165499,-0.04408995215562683
net2rect,test,S3m,5,34.40553857420144,34.004915762705004,0.400622811496433
net2rect,test,S3s,5,39.22870115891307,38.167715840643694,1.060985318269374
net2rect,test,S3sm,5,28.871726225274585,26.95453399334027,1.9171922319343153
net2rect,test,S5m,5,43.80023795703371,43.215063364897084,0.5851745921366245
net2rect,test,I1,5,22.12056540149045,20.31189276715556,1.80867263433489
net2rect,test,I1m,5,18.79666088417587,18.002350620868242,0.7943102633076293
net2rect,test,I2,5,38.00638684647222,37.73646715693991,0.2699196895323084
net2rect,test,I2m,5,25.287523345972723,23.956824354855836,1.3306989911168863
