metric,pair,content,direction,seed,image,scalar,delta
test_return,P1,cells + substrates,rect2net,1,31.71080935049913,-6.335784472559849,38.04659382305898
test_return,P1,cells + substrates,rect2net,2,27.703033863868615,17.587107617783232,10.115926246085383
test_return,P1,cells + substrates,rect2net,3,35.98999896294983,-7.266310291362865,43.25630925431269
test_return,P1,cells + substrates,rect2net,4,39.89101195174294,-3.854759500505432,43.74577145224837
test_return,P1,cells + substrates,rect2net,5,28.03693526957007,-0.2045754720303913,28.24151074160046
train_return,P1,cells + substrates,rect2net,1,47.99788152025995,11.663523598770583,36.33435792148937
train_return,P1,cells + substrates,rect2net,2,37.68150429458887,70.24091302987652,-32.559408735287654
train_return,P1,cells + substrates,rect2net,3,47.91098759195604,48.99064414765923,-1.0796565557031954
train_return,P1,cells + substrates,rect2net,4,51.62377073938344,39.43846831304042,12.185302426343021
train_return,P1,cells + substrates,rect2net,5,41.497158928531746,43.97023966819308,-2.4730807396613343
gap,P1,cells + substrates,rect2net,1,16.287072169760823,17.999308071330432,-1.7122359015696098
gap,P1,cells + substrates,rect2net,2,9.978470430720254,52.65380541209329,-42.67533498137304
gap,P1,cells + substrates,rect2net,3,11.92098862900621,56.256954439022095,-44.335965810015885
gap,P1,cells + substrates,rect2net,4,11.732758787640499,43.29322781354585,-31.56046902590535
gap,P1,cells + substrates,rect2net,5,13.460223658961677,44.17481514022347,-30.714591481261795
td_residual,P1,cells + substrates,rect2net,1,1.2194965218901632,356.2451060333252,-2.838590453723501
td_residual,P1,cells + substrates,rect2net,2,0.843506858408451,63.724067932128904,-2.162374784941402
td_residual,P1,cells + substrates,rect2net,3,1.2163646669387818,529.6637645568848,-3.0381878847841652
td_residual,P1,cells + substrates,rect2net,4,1.2207807885408402,525.7102188110351,-3.0326297507373563
td_residual,P1,cells + substrates,rect2net,5,1.2188873880505562,373.26932368469244,-2.862180870435825
q_mae,P1,cells + substrates,rect2net,1,14.358139474994264,49.333008358051565,-1.234276405534135
q_mae,P1,cells + substrates,rect2net,2,13.269462606918722,37.81102245888826,-1.0471353088771704
q_mae,P1,cells + substrates,rect2net,3,13.961129880982195,62.02888625071887,-1.4913231527215487
q_mae,P1,cells + substrates,rect2net,4,15.870661344779265,41.77462805129081,-0.9678169645132777
q_mae,P1,cells + substrates,rect2net,5,15.341712598226106,29.76315059571609,-0.6626956387970226
test_return,P2,cells + M1/M2,rect2net,1,3.108437797120799,17.915297066539765,-14.806859269418965
test_return,P2,cells + M1/M2,rect2net,2,31.951661344974518,3.2870666236960098,28.664594721278508
test_return,P2,cells + M1/M2,rect2net,4,29.19587172235017,0.15622311089880397,29.039648611451366
test_return,P2,cells + M1/M2,rect2net,5,40.02086021865662,3.352627177945672,36.66823304071095
train_return,P2,cells + M1/M2,rect2net,1,12.430835406548965,87.2196255153649,-74.78879010881593
