scope,metric,prediction,consistent,n,mean,lo,hi,p,r
all,test_return,greater,18,28,9.10605066867654,-0.37115505843864405,18.490062563406692,0.09246667101979256,0.39901477832512317
all,train_return,two-sided,13,28,-0.9792191871118064,-11.567710238734705,9.013186231887627,0.8505540192127228,0.009852216748768473
all,gap,less,18,28,-10.085269855788342,-21.12142608860872,1.1673718077651247,0.09246667101979256,-0.32019704433497537
all,td_residual,less,28,28,-2.018817068878591,-2.321971329876103,-1.7128897353648183,3.725290298461914e-09,-1.0
all,q_mae,less,26,28,-0.7253777737277407,-0.9232604097816902,-0.5381083020002754,1.516193151473999e-06,-0.9704433497536946
P1 only,test_return,greater,8,10,16.124986809878692,-0.9162062920677772,30.797175083740928,0.0546875,0.6
P1 only,train_return,two-sided,6,10,12.710410520198357,-1.9347825839656936,26.655841703353232,0.75390625,0.4909090909090909
P1 only,gap,less,5,10,-3.414576289680339,-21.95983165487139,15.128722154682649,0.623046875,-0.05454545454545454
P1 only,td_residual,less,10,10,-2.2761886928363055,-2.6826470912267446,-1.8716368223166153,0.0009765625,-1.0
P1 only,q_mae,less,10,10,-0.9089340189157816,-1.1703699492185264,-0.6532369942980178,0.0009765625,-1.0
