mode,family,split,n_eps,align_mean,align_sd,final_tumor_med
I2  (img cells+subs),image,train,741,0.35892604924298116,0.055668704422119915,67.0
I2  (img cells+subs),image,test,228,0.3425561727139026,0.07027956127083271,73.0
I2m (img cells+subs+m1m2),image,train,562,0.3523634717815964,0.05163320765445575,62.0
I2m (img cells+subs+m1m2),image,test,180,0.33310912934223047,0.06673235982626118,79.5
I1  (img cells),image,train,851,0.36011942646299117,0.061947659037115646,102.0
I1  (img cells),image,test,275,0.35892250780019896,0.07572500003379877,99.0
S3s (scalar cells+subs),scalar,train,869,0.34144757936592834,0.06774921955473845,52.0
S3s (scalar cells+subs),scalar,test,272,0.4142703584905534,0.14421207546007195,127.0
S3m (scalar cells+m1m2),scalar,train,893,0.34791110027102173,0.06484507855108573,47.0
S3m (scalar cells+m1m2),scalar,test,292,0.4055301924160846,0.14266077472506408,136.0
S3sm(scalar cells+subs+m1m2),scalar,train,1061,0.34534461351736845,0.07202963180564521,56.0
S3sm(scalar cells+subs+m1m2),scalar,test,332,0.36166971526169395,0.1090907609382263,106.5
