step,train_return,train_std,test_return,test_std
676,,,,
741,,,,
897,,,,
962,,,,
1040,,,,
1053,,,,
1131,,,,
1508,,,,
1651,,,,
1742,,,,
1781,,,,
2054,,,,
2119,-18.53770695718301,59.386743065268966,,
2184,-20.492202808927416,59.122626639896545,,
2364,-22.179927466356144,58.71587028655205,,
2661,-19.481737164991248,59.434995888273626,,
2741,-19.118081512567976,58.468822711513894,,
2768,-19.806401583953807,57.64147154059971,,
2784,-21.447482194418626,57.46474921849427,,
2820,-22.78394029550713,57.09016257616866,,
2856,-24.182845926913775,56.81552789860493,,
2901,-25.491752713241812,56.51571087610571,,
2926,-27.51150509497921,54.81702837885371,,
2941,,,,
2979,,,,
3027,,,,
3039,,,,
3054,,,,
3078,,,,
3120,,,,
3176,,,,
3194,,,,
3224,-28.5449926130721,54.51091355713048,,
3264,,,,
3316,-25.935360018892226,56.314943389388624,,
3420,-27.03058492427919,56.08069358453645,,
3784,-28.04393269710898,55.81247464556576,,
3836,-28.890870074896323,55.45340532802879,,
3979,-27.801815759376364,55.30760144001644,,
4005,-28.361143596780376,54.831655320907245,,
4018,-29.148585308161117,54.50747731235407,,
4044,-28.481807056975715,54.13006351217834,,
4070,-29.29104696598726,53.86743245202697,,
4148,-30.0214688020444,53.57059417502367,,
4161,-30.175836407007882,53.685669636418865,,
4174,-30.032434568168828,53.58604229251526,,
4252,-29.958345780397067,53.53792454324299,,
4291,-29.90219965356053,53.4951120283194,,
4343,-27.303995649075368,55.91725288910559,,
4707,-27.925342158196727,56.19699936455024,,
4746,-30.256938500633694,55.21805058016818,,
4863,-33.64012652701116,52.07153758141061,,
4902,-34.29890869016177,51.00143983896296,,
5006,-37.89588433383382,46.88168892215776,,
5054,-40.20200082580093,45.56706322966083,,
5138,-38.83464219632093,46.30925817450861,,
5150,-40.297617251225745,45.68512139806137,,
5186,-39.05801947964821,45.97341546136275,,
5246,-38.97950163661968,45.93562988483772,,
5345,-37.462221812489446,46.313763098482504,,
5367,-37.54748682209756,46.18438729558303,,
5400,,,,
5411,-35.0153883739328,48.080881828870304,,
5491,-35.984614219418724,48.24321635359346,,
5599,-35.947377049452626,48.217615072104095,,
5671,-33.03394865655806,50.17462453732648,,
5685,,,,
5748,-32.45640755465021,51.68009410880691,,
5808,,,,
5836,-29.058428024740422,55.66037147163235,,
5878,-29.182853147124405,55.73303367667523,,
5883,-28.953999388490338,55.68105941488476,,
5891,,,,
5895,-27.114138102896977,57.56606271626396,,
5910,,,,
5946,-25.003854063593316,57.840603300198204,,
5952,-22.581435153123458,58.53188960926071,,
5960,,,,
5984,,,,
6032,,,,
6077,,,,
6137,,,,
6143,,,,
6213,-24.845290921770502,57.62819710006327,,
6241,,,,
6249,,,,
6312,,,,
6342,,,,
6397,-25.496105488787872,57.624489757783515,,
6496,,,-21.98435320336721,38.84462288483157
6520,,,-22.110619823021878,38.09551825807016
6572,-22.822064433449412,59.92453035630385,,
6676,-22.555394503378775,59.733023720970685,,
6806,-22.578561398067976,59.74991675449862,,
6819,,,,
6832,-21.23676185305929,59.414499985910716,,
6949,-19.297224705668633,59.37403480575572,,
7222,-19.215893703328913,59.304444838770095,,
7274,-17.432686973069796,61.41582241297963,,
7287,-16.934566497211346,61.2148544389603,,
7378,-16.897194903441704,61.18736732546656,,
7417,-16.393787854951807,60.86052583709139,,
7482,-18.29868956013117,59.3335613954481,,
7599,-15.86344357885886,59.58043269481087,,
7625,-15.774845368270762,59.50220723953366,,
7677,-15.217540465611965,59.165193004462374,,
7716,,,,
7781,-16.845595207791774,59.29035222996567,,
7911,-16.76014997964725,59.24047976829435,,
7937,-16.52866203433834,59.07245197889786,,
8054,-17.22077261194587,59.0439894669054,,
8184,,,,
8327,-16.42365591619164,58.61875625078557,,
8375,-15.70578842739109,58.22801014038836,,
8387,-15.053148327800445,57.752626472805936,,
8471,-14.290257972772233,57.35446022632175,,
8507,-12.854897417058236,57.01628668632684,,
8567,-9.993062704545446,57.696654967392874,,
8611,,,,
8666,-12.718300594449975,56.233896421427886,,
8688,-12.462023855545558,56.00835898516106,,
8732,-12.084329426500481,55.722539686306206,,
8812,-10.841960046354215,55.18228719286768,,
8902,-10.572970144276042,55.428910022514536,,
8918,-8.689957853343804,54.97658626491011,,
8932,,,,
8981,-7.462992485988653,54.26674353592457,,
9107,,,-21.77856568268099,37.42171274140751
9135,-7.481048883398762,54.257885017001264,,
9141,-7.054101157778641,53.953483204798474,,
9176,-5.792646260777255,54.87913250845151,,
9188,-5.12690440005972,54.42760778399457,,
9203,,,-21.293977050712524,36.83356017519871
9239,-5.848395453555277,54.44541288200617,,
9245,-6.128762627014657,54.29319491891656,,
9253,,,-20.880202279268595,36.25909375066418
9259,,,,
9277,,,-21.29247763407863,35.718720232432744
9317,,,-21.34560075518957,35.139094014364524
9327,,,-20.22356092524842,35.145383483109924
9381,,,-19.506830031047823,34.84546225754261
9416,,,,
9528,-7.145059839406749,53.471745107282864,,
9556,,,-18.03830622226558,35.35054233739468
9564,,,-18.148893009195206,34.847841380651815
9627,,,-16.32470687296639,36.01537753604364
9657,,,-17.195751938266472,35.9077201169884
9690,,,,
9712,-6.780049152536085,53.11759156962636,,
9811,,,-17.672335144281725,35.55049353068876
9835,,,-17.185886204587476,35.21964701572863
9887,-3.0284279164252803,55.229793219146984,,
9991,-3.798884467720054,54.449450084930945,,
10121,-2.8612093122140503,56.82934101068335,,
10134,,,,
10147,-5.732936159719247,54.26701211534505,,
10264,-4.698664051026571,53.62117574330148,,
10537,-2.5170411523082294,54.51491447844823,,
10589,-5.267626650056336,53.9517964165622,,
10602,-6.241232367085758,53.669191113481354,,
10628,,,,
10693,-6.609177057577763,53.32116632942795,,
10732,-5.879410315530841,52.872605111732895,,
10797,-5.238022925376426,52.635286493201775,,
10914,-5.54123896430945,52.10810438088261,,
10940,-4.909851994661149,51.645888914552415,,
10992,-0.7555724480631761,54.767511544297925,,
11096,1.4913747961376793,56.882599241349915,,
11109,,,,
11226,0.8513448481983505,56.772110205196036,,
11252,3.554543642809149,56.64725906566033,,
11369,2.140857760803774,55.141507353843366,,
11590,,,,
11642,1.68771353459917,55.49139233628191,,
11690,1.8948520805221052,55.275933393879775,,
