step,train_return,train_std,test_return,test_std
481,,,,
494,,,,
676,,,,
767,,,,
819,-64.86583395134657,2.1134934247540405,,
845,-64.94408872537315,1.937265537303001,,
910,-65.46136172594768,2.1959698010971147,,
1092,-40.9496215720249,45.86670207929839,,
1456,-42.75908905621119,44.677180244262196,,
1547,-44.72629093087744,43.78537165111279,,
1586,-44.4221640837568,42.411363389415285,,
1599,-36.64441881359637,51.58303606087918,,
1859,-37.95889322695762,50.421822496866966,,
1924,-39.55227296964241,49.54039982936004,,
2002,-33.17783169120666,55.70974048694266,,
2184,-33.04971506334214,51.37424828525902,,
2561,-33.342597215147514,50.43601211475176,,
2621,-34.530603020805366,49.91040260862339,,
2655,-29.21409296482432,56.53828692680645,,
2676,-28.338241878683522,55.7877372812194,,
2802,-29.545234259852627,55.277307189670445,,
2851,-27.378735801587027,55.72790123657954,,
2886,-27.780631250338487,54.92411633156563,,
2922,-28.36670411668841,54.215018118097625,,
2932,-29.524347491193165,53.85957479057888,,
2944,-30.593125730730307,53.48134784090016,,
2971,-30.424847385872944,51.668868686852576,,
2993,,,,
3011,,,,
3014,,,,
3074,,,-18.577876676805317,36.329200531838005
3099,,,-22.84812976012472,34.51112356492338
3111,,,-28.203658831671678,34.53928807894035
3132,,,-29.701046578324167,32.550534693331876
3148,-24.17760701305524,64.22633938151473,,
3196,,,-26.48823934314876,32.006061673034665
3223,,,-26.172010223637336,30.37843302641747
3313,,,-25.068926748371897,30.514451223575637
3404,-23.954218987384017,63.45398687014967,,
3677,-24.83950809984457,62.949779913713826,,
3716,-25.673158387380088,62.447645441306825,,
3820,-25.97432453907624,61.76551488904171,,
4002,-23.521002631536167,63.20623553886697,,
4054,-24.50095227962542,62.86010921642469,,
4093,-25.34369405123722,62.449907622684144,,
4119,-22.425568991238833,64.95357943996547,,
4184,-20.031663169851527,66.39234736623781,,
4262,-21.07859860548284,66.13238638924084,,
4418,-18.64517049375456,65.66624491496401,,
4509,-16.444897614861837,65.99724841834085,,
4548,-16.322998921251855,65.90765991111586,,
4561,-16.370179945337586,65.94356388901036,,
4652,-16.30274137619417,65.89185519112297,,
4756,-18.93470597285079,65.1496539638989,,
4795,-19.115533694245386,65.06429706866848,,
5146,-18.47314843868138,64.80380684406283,,
5185,-18.566130137343425,64.72416632378983,,
5276,-18.533027965847868,64.69931172660006,,
5348,-18.323978828426917,64.55869762284084,,
5360,-18.436581981789786,64.64709753023526,,
5408,,,,
5456,-18.44600376968505,64.65497605434402,,
5467,-19.011961805943866,64.96306787241488,,
5507,-21.879753830323462,63.35841146796074,,
5607,-21.092237723788713,63.02118038004825,,
5616,-24.14981107091764,61.34354989445417,,
5728,,,,
5736,-22.10996719140792,61.96878650476887,,
5764,-19.287756847136187,63.80934665631433,,
5920,-19.646118685163092,63.867124202009755,,
5935,-21.623508350334596,63.758382810894936,,
5963,,,-26.362066975611793,29.771816796375685
5993,-20.72662332060514,63.3907086350821,,
5997,-18.56550434472738,64.79194977489416,,
6021,,,-23.55577319666433,30.619018988734044
6025,,,-21.699265392540838,30.506202188972964
6045,-17.078511822361033,64.38858957328513,,
6051,,,,
6075,,,-22.658798711305923,29.84320347449622
6079,,,-20.85900733044319,29.936688462690366
6154,,,-19.945301755172153,29.394966526145833
6178,,,-18.341831320233176,29.490881395752087
6206,,,,
6360,,,-19.368972805184534,29.14442685808511
6384,,,-15.687965485680087,33.09584183718076
6447,-20.528027893153485,61.52777796574576,,
6465,,,,
6501,,,-15.4424780248968,32.388845411666026
6511,,,-11.91241787316782,35.943537483474046
6599,-20.885682080851403,61.476446525092385,,
6610,-19.070838159739505,61.464470252199966,,
