step,train_return,train_std,test_return,test_std
468,,,,
793,,,,
806,,,,
845,,,,
858,,,,
910,,,,
1066,,,,
1300,,,,
1508,,,,
1820,,,,
1872,,,,
1911,,,,
1976,,,,
1989,,,,
2067,,,,
2132,-17.371472232366123,71.0968019875435,,
2366,-15.974282958941465,70.1305759270012,,
2571,-14.186168974261298,69.4908100764867,,
2648,-6.390180891183013,79.77608934362834,,
2768,-8.447185053672486,79.21357417897278,,
2885,-4.63580514187549,80.6732684830797,,
2893,-6.5082795162488765,80.08424756944606,,
2921,-8.115503053325511,79.38387737205092,,
2927,-10.23791232999921,79.15241895062489,,
2932,-11.961274552627998,78.65800431923275,,
2952,-8.87012470207992,79.68469441146009,,
2974,-2.7126310138622873,79.69329173608809,,
2990,,,,
3004,,,,
3040,,,,
3092,,,,
3097,,,,
3103,,,,
3124,,,,
3132,,,,
3168,,,,
3248,,,,
3417,-4.300900122101302,79.31347036088626,,
3703,-4.643214996174409,78.37017189598045,,
3716,-6.203298058779356,78.07327800894141,,
3833,-7.659755098544126,77.73529195196451,,
3963,-7.87107915439463,76.85935267266811,,
4080,-9.228559811659053,76.53212782129933,,
4106,-10.593398242396727,76.24737476000826,,
4132,-11.824725708485818,75.89275930803885,,
4158,-10.322867922385436,75.80058738584096,,
4210,-8.297620865642283,76.32396283152869,,
4262,-9.273346426573116,75.86494799579606,,
4366,-13.516845056007151,68.86173583656799,,
4457,-13.528231239954476,68.8705435513726,,
4535,-10.84748757433379,69.24073235419526,,
4587,-10.883990333380643,69.26966786666246,,
4756,-10.903980734425131,69.28619929122351,,
4769,-13.794856758418028,68.74338551079194,,
4795,-15.877066419592593,68.79947229258923,,
4821,-16.01027354048798,68.8906865209115,,
4860,-16.31126575803617,69.05696409680861,,
4925,-19.084495697917884,68.23504488331287,,
5289,-19.24533302914584,68.33122739320272,,
5301,-20.89418927490944,68.36187574172575,,
5385,-19.95473539818311,68.06540644521084,,
5409,,,,
5481,-17.335906158669385,67.69845722914316,,
5577,-18.951901118969545,67.50418364310755,,
5617,-19.27363782514818,67.70293544486185,,
5626,-19.200150814661757,67.67014776447611,,
5682,-19.169517766600475,67.64688826700423,,
5703,,,,
5738,-19.126548746367916,67.61500496588792,,
5768,-18.483288262267596,67.24058964674869,,
5803,-19.13014315875713,66.3858645913639,,
5851,,,,
5879,-21.63463456208352,65.95067374047875,,
5906,,,,
5934,-23.659019034018275,65.62994124753915,,
5937,-22.43036778697977,67.00305033039952,,
5949,,,,
5953,-23.606457044626588,66.51490079954854,,
5961,,,,
5973,,,,
5977,,,,
6012,,,,
6048,,,,
6060,,,,
6095,,,,
6103,,,,
6166,,,,
6226,,,,
6314,,,,
6468,-29.061224572206847,57.55834833002899,,
6479,-29.029466058420947,57.53723348963776,,
6545,,,-16.99827488806797,32.009747936895536
6641,,,,
6653,,,-18.478943778817595,32.249416399735416
6757,-27.41239523164928,61.06087222318581,,
6822,-27.08396575947292,60.93117321933313,,
6913,-26.067609993349762,60.457397382477566,,
7017,-24.799033276699483,60.17540298289751,,
7069,,,,
7082,-28.05227674474474,57.72430627093427,,
7095,-28.858447574614548,57.029711619318114,,
7186,-31.2001150294533,54.67380876889232,,
7199,-28.467240894339046,63.28529695523694,,
7264,-27.269061691700482,63.12566547894411,,
7407,-28.338537977435625,63.41756095243855,,
7485,,,,
7563,-27.817402644469404,63.17830550766186,,
7641,-27.63144835121464,63.0709074539812,,
7758,-25.777070826739074,64.69947145391464,,
7862,-25.240206940062343,64.44982757955789,,
7888,,,,
7927,-23.025278555665864,64.70688738538985,,
8018,-21.931473588392837,64.39098709226886,,
8122,-20.89111420088331,66.10794847179959,,
8161,-24.10764177929028,64.58198973639422,,
8187,-23.859307747626445,64.47850001604083,,
8278,-25.053493280227993,64.56811493257518,,
8291,-24.250287708457325,64.31786062078824,,
8351,-21.66253860502853,65.14028948596913,,
8483,-20.296764165397036,67.59920248918989,,
8615,-19.2370791522332,67.27837753701236,,
8645,,,,
8675,-19.028379701665834,67.1407108162486,,
8765,-18.659249416060046,66.90062715409093,,
8845,-15.311895920523675,68.4793952208618,,
8890,-14.552436773442896,68.11803700735828,,
8922,-14.572556390428216,68.1321330906017,,
8936,,,,
8943,-13.78328598021646,67.75140298101338,,
9009,-11.085563991982344,68.37990309486378,,
9019,-10.864360604891408,68.2307513526897,,
9047,-11.583364921072352,68.49595756488891,,
9050,,,-17.47665060488119,32.056587477510305
9070,-13.04517622317173,68.64333424665325,,
9076,,,,
9103,,,-18.657773947050114,32.07164368095449
9151,,,-18.94733645563648,31.55106015466021
9181,-13.778671730467904,68.81543647019535,,
9185,,,,
9217,-12.640106598299317,68.37485491398824,,
9241,,,-15.34455511822016,36.58835950470285
9261,,,-16.47763462668668,36.524512258690685
9281,,,-17.563843786751022,36.454445632736736
9299,,,-18.159431676188074,36.05561400192243
