step,train_return,train_std,test_return,test_std
754,,,,
793,,,,
884,,,,
1014,,,,
1053,,,,
1066,,,,
1534,,,,
1742,,,,
1768,,,,
1794,,,,
1846,,,,
1898,,,,
1937,,,,
2119,,,,
2158,,,,
2184,-14.736349847037346,70.29004654138168,,
2197,-16.53259942252547,69.50774700018279,,
2652,-18.194525989686586,68.73282227397873,,
2796,-19.921571503077367,68.08826570037488,,
2851,-18.192609737290006,67.52666208192548,,
2871,-19.24214367546762,66.63181831525044,,
2907,-20.67868680654154,66.01885766658168,,
2915,-17.906140026185312,66.78760553980082,,
2958,-15.423912443107728,67.25014167051135,,
2964,-13.446837658939117,67.22020280634521,,
3040,-15.106265221429723,66.95580534414854,,
3045,-16.628928578044807,66.63105508942331,,
3061,-17.183600533219316,65.91174702837948,,
3064,,,,
3076,,,,
3086,,,,
3092,,,,
3108,,,,
3118,,,,
3148,,,,
3162,,,,
3282,,,,
3291,,,,
3341,,,,
3783,-18.202137512646733,65.39272682787244,,
3952,-18.701839104864078,64.66760406516066,,
4004,-19.472561010227462,64.083418243886,,
4043,-20.572310670735153,63.733641623007024,,
4082,-20.513884984974126,63.0063980628766,,
4121,-21.232473063743157,62.48446614765696,,
4134,-22.293105314612266,62.20976267859974,,
4186,-21.2288359453867,61.966247048136424,,
4212,-21.864747555705737,61.47215336529934,,
4225,-22.808097784210243,61.19168580895034,,
4290,-23.757662849698683,60.94026567684683,,
4342,-23.793366455205252,60.9666086330278,,
4407,-21.897225497507023,61.09798882066141,,
4589,-21.801581499942113,61.028523065622025,,
4667,-21.67379742182093,60.92919408412928,,
4849,-21.572383137114812,60.853744819535606,,
4901,-23.45512406612979,60.82745680362726,,
4927,-23.16565390142845,60.67831966247061,,
4979,-23.667242795594504,60.928748829920615,,
5070,-28.456841337804217,54.44453516288069,,
5161,-29.701603847530205,53.7259135193303,,
5213,-30.93158893279964,50.33177814561439,,
5239,-31.651914806312416,49.72569349895616,,
5395,-32.123514043292964,48.800838170030254,,
5421,,,,
5447,-30.73096877892967,48.70246853602717,,
5512,-29.21532471654471,48.603678952670855,,
5642,-29.141289700451306,48.54965519950496,,
5702,-28.979361096383073,48.43905515675115,,
5779,-26.438366070394405,49.81042611255972,,
5799,,,,
5919,-26.64499695649836,49.96010969760119,,
5946,-25.65512648573611,49.62485328141826,,
5986,-27.346924704618285,48.964060892452046,,
6035,-26.31087793994462,48.60641990767241,,
6041,,,,
6077,-27.328905843992253,48.44132783618838,,
6097,-29.496379514357542,47.48597036067648,,
6105,-29.192890319435392,47.99846049639146,,
6144,-28.770296729451513,47.80532428010747,,
6150,-27.901766663438174,47.59857280013929,,
6155,-27.893916454671416,47.592229729300065,,
6160,,,,
6174,,,,
6177,,,,
6216,,,,
6228,,,,
6253,,,,
6295,,,,
6344,,,,
6352,-24.029424505999778,58.702210104623376,,
6376,,,,
6394,,,,
6524,,,,
6557,,,-12.487206797567632,35.91336245164509
6581,,,,
6617,,,-11.663318847409474,35.456069484184916
6747,-21.679618470475543,59.9663738872923,,
6812,-20.668675019100775,59.673547422503646,,
6903,-19.0922146166279,62.94766629421311,,
7033,,,,
7124,-21.19681085693417,61.88427494664195,,
7176,-22.190834338355344,61.09799627019789,,
7280,-17.37232944645686,66.29627004680216,,
7371,-16.7339513574983,65.9399038651708,,
