step,train_return,train_std,test_return,test_std
941,,,,
1504,,,,
1629,,,,
1637,,,,
1713,-12.867574503117865,65.84634128852207,,
1739,-13.348825999380812,60.11884257521691,,
1754,-22.005836300353288,59.561843183907015,,
1950,-23.70523295306296,55.89612831774644,,
2049,-28.816685445528467,54.64649774410525,,
2081,-14.282786842040608,67.74011825849618,,
2113,-18.33193404110273,65.84468740295017,,
2121,-21.580848251425223,63.95575944822531,,
2124,-13.99104629869416,66.83531114931415,,
2132,-16.809581463263008,65.20095210730388,,
2142,-10.244507167533467,67.61032479661635,,
2153,-13.352998704589979,66.5612467014346,,
2156,-6.4929215827128415,70.16237134940116,,
2167,-0.37728775478001825,72.69861339240957,,
2189,1.9293121208687232,71.43313724129933,,
2203,4.401461620771235,70.45337026129472,,
2251,0.9369322478778722,70.47957907868165,,
2595,-1.2653178190046062,69.59475185419832,,
2659,-2.812356116495852,68.45070342832875,,
2725,-4.444304924236235,67.46498789837784,,
2747,-6.775378013954898,67.08112439750687,,
2810,-8.737729988443316,66.5062078327166,,
2828,-10.848796232932015,66.14476306106283,,
2905,-12.665134441877703,65.63497794752116,,
3002,-14.661284483558052,65.35265517540641,,
3051,-15.636782250372173,64.46859831027643,,
3134,-13.248464535095613,64.75531669446642,,
3251,-11.571590389175988,64.41568954170432,,
3394,-10.550466187009208,63.69465022684028,,
3437,-9.994982867076821,62.832055718247275,,
3761,-11.68452856526843,62.70666805040347,,
3785,-13.307932664354988,62.57108693413243,,
3827,-14.92047257804236,62.47348685396506,,
4018,-16.27305124729557,62.19258844870283,,
4083,-17.592566478973378,61.92659565017587,,
4119,-18.07962398025068,61.22321816902751,,
4196,-19.4544059854738,61.09387810941803,,
4230,-20.512788673548226,60.74142681442873,,
4276,-18.178460864638918,61.90783265880036,,
4310,-16.25348081421471,62.48851279853256,,
4355,-14.961580417838276,62.38170303927554,,
4473,-16.107606456082383,62.177017107173874,,
4526,-17.147887776513517,61.91532162657347,,
4528,-18.282739074084844,61.75899151416467,,
4726,-18.895065651939433,61.27258825193907,,
4759,-18.111441102912227,60.904291917137456,,
4806,-15.39536363485849,61.92220569938439,,
4812,-14.138951593908091,61.59147042638098,,
4846,-14.246443308351079,61.68475180592421,,
4983,-15.405633564722603,60.05329372365132,,
5038,-13.933098755298458,64.57404613523542,,
5135,-13.388858864412093,64.17940631119683,,
5162,-14.059030836663228,64.58154155200354,,
5165,-14.01019307874992,64.54035023796781,,
5234,-17.72929888584252,62.227679939252745,,
5274,-17.897907044085017,62.35009832312474,,
5404,-18.094437035693744,62.48937634006106,,
5433,-20.69533325721687,61.165992771649776,,
5498,-18.02630198165133,62.57389236958021,,
5539,-21.051387357650075,61.32486662951164,,
5568,-20.896108179827003,61.23586379952921,,
5585,-24.130678266750138,58.81542070634427,,
5697,-25.988255075848087,56.15902760202167,,
5816,,,,
5839,,,,
5863,-24.687353259928397,58.45871277178108,,
5959,-25.27132032497161,57.838553669794834,,
5963,,,,
5979,-22.200309650905105,59.521507805782534,,
5996,,,,
6049,-19.80994084992533,60.84223785804208,,
6077,,,,
6113,-19.733535726843847,60.82319039160386,-7.653077107352914,26.345821804888544
6180,-16.831444861686126,63.11123093509031,,
6244,-16.425091698794503,62.87943743973462,,
6283,,,-11.367649781849083,25.444230313563928
6340,-13.585221812981409,62.4294901356429,,
6387,,,-15.45813119523072,25.599103616040317
6408,-13.054400584381007,62.13019139334689,,
6422,,,-16.571858161834207,24.126387151719403
6485,-12.005664003489292,61.59099339359062,,
6497,-11.528357045604116,61.43404542535166,,
6516,,,,
6522,,,-16.219757098441633,22.768366621242645
6675,,,-18.42430652755437,22.58979881291545
6696,-13.922519416697929,60.993161959569925,,
6708,-15.604058865311318,60.62992128737286,,
6784,,,-22.10795423983799,24.486747353662963
6829,-14.069203944220744,62.507914544786814,,
6847,-15.16685634160849,62.58666312166551,,
6861,-15.056038614800247,62.49585751180423,,
6898,,,-24.918620473230902,25.229592830566308
6902,-14.023059452975252,62.001959559950286,,
6912,-13.955353522819182,61.93936741996543,,
7061,-13.055551775214832,61.49735701147779,,
7188,,,,
7201,-11.994780529404295,61.00047955590078,,
7243,,,-24.226056611295366,24.35824426286156
7250,-12.541750009756036,61.34455309376019,,
7375,,,-23.373085398834565,23.672812504538037
7465,-12.202145725672288,61.04719266953963,-21.321903411451224,24.123531680051883
7483,,,-18.024417785205493,26.620939197425418
7510,,,-19.319090193658184,26.340206917255404
7547,-11.06605007484888,60.60134115540598,,
7620,-13.167917340404466,59.21785309553857,,
7716,,,-20.186349402257257,25.846625504249385
7727,-14.801263284189956,58.11333084003681,,
7874,-15.071622249720551,57.22175517388032,,
7881,-14.55212542839771,56.88301247039394,,
7926,,,-17.010656921320177,28.538010362981115
7935,-14.333230475567182,56.6836914370589,,
8025,,,-18.239623696205523,28.326559287096735
8046,,,-20.05380673604834,28.8098928641919
8061,,,-18.663972418947047,28.85908229496394
8095,,,,
8110,,,-19.615503123424176,28.575425505474914
8232,-12.591328540632952,56.95112288104124,-20.587009075263563,28.35912142387446
8253,-13.29037365872449,56.757459764828084,,
8492,,,-20.544555505207025,27.786929167350362
8566,-15.833670528701903,55.61933974514817,,
8734,-17.13987812993378,55.98874997904495,,
8776,-13.968630130488659,57.35777901057598,,
8811,,,-19.271638127065348,27.980792132425044
8817,,,-16.483554083644957,30.919835779950915
9104,-15.890261864695777,57.06385717381507,,
9118,-15.893672556194693,57.06691080048139,,
9190,-19.148271464926967,51.94148057434337,,
9199,-18.53707986574809,51.792846510609415,,
9323,,,,
9334,-14.044794777616247,56.71840231167141,,
9532,-14.047617902257803,56.721054766896756,,
9539,-11.180798855585877,57.4667929922416,,
9601,-9.091322130609106,57.20628717979785,,
9616,-8.177582016776903,56.862153561916955,,
9715,-10.824542394808459,55.74249452425364,,
9756,-9.971205346895847,55.4280099265667,,
9915,-9.59890166637445,55.16294879300677,,
9994,-8.408939617979064,56.219820328025115,,
10009,-10.445046299484307,53.737868680665954,,
10028,-12.223651607696564,54.09930036253408,-17.8358093325868,31.165110910086852
10063,-14.563552988078625,52.33648076647441,,
10244,-14.08540599717742,53.226831962094195,,
10289,,,-18.9266641781755,31.162337387384135
10324,,,,
10338,-16.28597721093598,50.82519240696604,-19.359740859742615,30.72719755116606
10359,-14.93019099026789,51.01421719624232,,
10402,-15.154103045942746,50.86912802616918,,
10481,-14.817406899435605,50.99010338091094,,
10525,-12.012417262331075,53.58516861473352,,
10641,,,-17.406462304589468,32.06497757653338
10732,-12.428463232220135,53.71155557261183,,
10825,-9.07463791082846,58.17984837232769,-18.43562048190968,32.075954593162905
11041,-8.425331655832306,57.77303369884929,,
11162,-8.853703375668282,58.111158906088804,,
11199,-11.986658817795636,56.417069069741515,,
11239,-11.815821451137985,56.32501655969419,,
11377,-10.916605330534974,55.84818058692061,,
11394,,,,
11428,,,-18.466236236039904,31.58669140182789
11467,-6.860490030130745,62.15971392508542,,
11552,-6.3759687191755985,61.762035529579606,,
11581,,,-18.393699141647353,31.121504283497092
11597,-6.797042702115817,61.934070047396006,,
11645,-6.030508464222823,62.068600690425946,,
11708,-4.505664237478929,61.54968392910018,,
11844,,,-19.558224888765654,31.416290604983658
11890,-3.5768045671192037,61.09218744408254,,
11899,-2.98224698902428,61.199553114688776,,
12007,-3.0231993516348075,61.21510989812377,,
12052,-2.2634483600398085,61.29561118833625,,
12129,-2.1876448544754057,61.25127875800209,,
12136,-0.8926479899452622,61.97756364024287,,
12307,0.614093997795023,61.947941748283,,
12347,3.6306197272113674,62.55919698643985,-17.00566470323484,34.461744510375155
12495,2.2073932108069934,62.552173962605956,,
12581,,,,
12585,4.313901733155532,63.71120550863961,,
12755,4.83663751048358,63.34498220994403,,
12766,5.3922723752662645,62.850550408635584,,
12813,,,-12.93857279500262,41.844936787915564
12939,3.523680123150021,61.74010842386769,,
12947,3.685311256447232,61.5991466785952,,
12957,3.5982406360190264,61.702086697809484,,
12983,3.721415257086249,61.67486795220469,,
13087,5.431490602217121,62.28185609180546,,
13187,4.363867718015714,60.120193281178416,-13.774597039660692,41.60264982671951
13320,5.239549273850998,59.38277423909769,,
13332,4.501497866343127,58.75068946226174,,
13388,7.6467468450731735,59.1632473979224,,
13481,10.241541798626661,63.02086888606287,,
13556,14.792523720188306,69.47726031906559,,
13660,14.894308389379969,69.37442687103334,,
13717,16.346373706168745,68.4597676189521,,
13827,,,,
13957,16.114882740071348,68.56642726134515,,
13977,17.524854929869633,68.12462275394599,,
14125,15.127255846620562,68.33750722543223,,
14177,14.711344509643244,68.45079326701801,,
14242,15.512427463022075,67.72319654927955,,
14246,15.157844989454707,68.01575619336138,,
14304,12.53683963160243,67.37533920259811,,
14345,13.68389945957724,67.80631098754691,,
14376,16.632374431825678,68.18766289633575,,
14386,15.398657447815435,68.57506545818487,,
14437,17.032838047671824,69.45137948534881,,
14444,16.744166482286378,69.50279478974217,,
14562,15.174480963658938,68.36693511710331,,
14570,16.14885754461382,67.93485216802803,,
14610,13.748114163965065,65.31655334419546,,
14618,15.46417194596979,65.30219525028282,,
14626,,,-13.18670471998143,41.22541626897225
14630,16.98925399954461,64.28576278142418,,
14643,17.34836685237882,63.91617621960983,,
14672,,,-13.950350329468725,40.98523640220915
14689,,,,
14713,17.6950184759998,63.66152105297656,,
14731,18.310249162526166,63.45583403706336,,
14795,18.98961113516456,65.38218250325319,,
14914,20.16266790533447,64.74012710604336,,
14918,22.28220393743494,64.39162683965935,,
14922,,,-13.852112393556304,40.48709859333532
14950,,,-11.412603573352897,42.9438679328844
14977,23.56660930689779,65.04292352359488,,
15036,,,-10.727373571706357,42.67327817748708
15076,,,-11.49930095045646,42.48817012391494
