step,train_return,train_std,test_return,test_std
845,,,,
910,,,,
975,,,,
988,,,,
1079,,,,
1781,,,,
1911,,,,
1989,,,,
2015,,,,
2067,,,,
2093,,,,
2132,,,,
2158,,,,
2197,-31.769493863989528,57.42673336006162,,
2834,-33.13753743787055,56.7833425154296,,
2882,-34.30467823347343,56.08897020055821,,
2927,-35.3746327814357,55.40347680146872,,
2967,-36.621589622274044,54.88459899181505,,
3066,-35.19202037275799,54.55692134240162,,
3074,-35.666921529746105,53.76276433242049,,
3095,-36.41200157748994,53.1094201751717,,
3108,-37.517302785734714,52.70642440696999,,
3123,-38.417427956427645,52.212492222337694,,
3135,-34.2286894589779,55.44243370753195,,
3139,-32.59273633898463,56.122241916176336,,
3148,,,,
3158,,,,
3167,,,,
3223,,,,
3228,,,,
3252,,,,
3260,,,,
3287,,,,
3317,,,,
3339,,,,
3456,-33.35634450440121,55.621076819284234,,
3794,-34.33961254115523,55.28942600668935,,
3872,-35.1480991313306,54.872000846476,,
4054,-35.58127025894139,54.30281265134082,,
4093,-36.34021525703561,53.91238518284991,,
4236,-37.02372322126499,53.50244330042041,,
4288,-33.550667847319424,57.81935699176252,,
4314,-34.44331693469467,57.5204533445724,,
4340,-34.88906259729507,57.00010285351126,,
4353,-33.2738338514464,57.51465579170049,,
4366,-33.987490024736616,57.15533981852543,,
4405,-32.09843582535395,57.631229674323535,,
4444,-32.127355805097615,57.649988388892524,,
4561,-31.80935510339448,57.468351024888705,,
4730,-31.82093362732092,57.47524943149116,,
4860,-32.155257605931254,57.64522401651399,,
4899,-34.08911402033875,57.30000929373412,,
4925,-33.465290437063665,57.91172483801789,,
4990,-35.65343219679082,52.71959334919655,,
5042,-37.911589565475005,51.53304306074201,,
5081,-38.90342610865133,51.52560292824092,,
5211,-38.75217914002249,51.437336905154154,,
5367,-40.000570955553556,49.778551805610306,,
5406,,,,
5471,-36.794022814312484,53.39109892352488,,
5484,-35.70033887663158,53.371442978347226,,
5562,-33.8905528703588,53.586154053970915,,
5692,-34.17542239508359,53.670918658129786,,
5812,,,,
5848,-32.05716334274737,54.39367455453966,,
5881,-32.06331713248743,54.3981848154954,,
5951,-29.849930996253388,55.29294757518869,,
5987,-27.67928029922885,56.08039749320947,,
6027,-27.781007070691558,56.1534218690241,,
6034,-25.977471029033186,56.18159316861704,,
6052,-23.812176883021603,56.761566525255645,,
6067,-26.271542973729083,55.00685026209852,,
6071,,,,
6155,-23.809551167531172,56.254454416611566,,
6179,-24.281281104333466,56.26706486992588,,
6181,-24.034289941837777,56.0983641391359,,
6188,-21.069661726088963,57.70567749208601,,
6200,,,,
6201,,,,
6207,,,,
6228,,,,
6244,,,,
6269,,,,
6275,,,,
6296,,,,
6304,,,,
6322,,,,
6542,-15.39673960724729,66.36758553967107,,
6612,,,,
6623,,,-24.20030751961749,40.100106476571305
6707,,,-21.80803483956977,41.100436578261295
6824,-15.137733163425,66.16809310669112,,
6850,-16.553984052279265,66.42157171248925,,
7006,-12.30826795903733,70.76579546853081,,
7032,,,,
7045,-11.743742164017167,70.49311843585463,,
7188,-9.189292280182707,70.50527564191924,,
7266,-5.443929260403383,72.18147479667319,,
7305,-6.154377807078418,72.49445156406888,,
7318,-8.263222174679395,70.94957429296763,,
7344,-9.776223107023398,70.33356709664328,,
7448,,,,
7630,-9.314009067524458,70.0628077859183,,
7721,-8.830623351294781,69.77257247458964,,
7734,-7.674835953045403,69.16492181543718,,
7825,-7.098358614373719,68.77628136360785,,
7942,-6.460072830658174,68.48762315690142,,
7968,-6.1515468435187355,68.23960642363079,,
8124,-5.824974843674572,67.98575469060626,,
8137,,,,
8163,-8.562476906228111,65.46287819475234,,
8306,-7.179146392607363,64.76069201282313,,
8384,-5.061447420829208,64.86602133120668,,
8423,-6.6876040515431665,64.6279822683726,,
8436,-6.213793920812895,64.25549778446735,,
8462,-7.719871687217383,64.30337085113132,,
8553,,,,
8748,-5.157013115071459,64.31476417377316,,
8832,-5.145666068949504,64.30568440171243,,
8844,-4.883615157500608,64.0820625879226,,
8928,-2.898016194793163,63.581874884038555,,
8940,,,,
9036,-0.8180155386577826,63.01170011411925,,
9058,-1.4759886169608216,62.77103268020217,,
9178,-2.629129873852944,62.49086453066876,,
9205,-1.9903594207798596,62.00273022912716,,
9269,,,,
9293,-1.0952856862905902,61.43864260282364,,
9335,0.5785493737470824,60.80917660702659,,
9353,3.405163049796829,63.77376077537294,,
9358,1.4480824601522182,62.2667012844782,,
9366,4.363832199807511,65.021159752536,,
9411,,,,
9432,,,-19.413485577722355,42.13978814372218
9460,4.845891988977091,65.2006285277071,,
9463,4.8344263678893915,65.21157242598031,,
9477,3.131142724585952,65.42771023899107,,
9484,,,,
