step,train_return,train_std,test_return,test_std
533,,,,
871,,,,
949,,,,
1040,,,,
1053,,,,
1599,,,,
1729,,,,
1859,,,,
1872,,,,
2015,,,,
2041,,,,
2145,-23.723739396100147,53.42476000477154,,
2639,-25.235817808735494,52.98999523710803,,
2687,-26.464709521063405,52.42547814711126,,
2720,-27.931058041919986,52.09474319042074,,
2751,-29.19976603167379,51.67280882057843,,
2805,-25.16128766277759,55.43669192254233,,
2869,-26.5617614745222,55.11796084109187,,
2876,-27.891434111006014,54.79512984196021,,
2955,-25.51136051966986,55.687826379028344,,
2960,-26.95134255390627,55.52504677042515,,
2992,-27.497064505400584,54.03423294208454,,
3000,,,,
3008,,,,
3020,,,,
3028,,,,
3093,,,,
3105,,,,
3189,,,,
3197,,,,
3269,,,,
3282,,,,
3347,-28.542019204383358,53.75212697180074,,
3594,-29.50611574803149,53.44155615118744,,
3672,-30.39790878860246,53.10938724546734,,
3750,-28.331311163412465,54.1699749207215,,
3802,-27.501943192579326,53.8263243290893,,
3971,-28.381358853859172,53.54360564931813,,
3984,-29.217526893624598,53.25463709910463,,
4036,-30.207303071203512,53.11100605493769,,
4049,-30.94652358873977,52.79863391702629,,
4101,-31.58361773786569,52.44317556622167,,
4166,-32.292592440403226,52.15276159047792,,
4244,-28.308914303478943,56.791405685827264,,
4283,-28.393599716273293,56.85036276592591,,
4400,-28.522321657535777,56.946970980519566,,
4491,-28.352724709619924,56.830124650303276,,
4517,-28.904355466102405,57.046923498205224,,
4725,-25.908396736343548,59.15291164650168,,
4777,-25.04631396636103,60.14303889508377,,
4946,-28.28027503963296,58.09264198211363,,
4972,-30.878689311889158,56.684599675602804,,
5011,-32.917899766119355,56.12583600492775,,
5089,-31.058594484219483,59.41901583926017,,
5141,-31.313147597314945,59.55963679806677,,
5154,-30.60799294706636,59.92468287450433,,
5167,-27.36242826681786,62.30480574386719,,
5414,,,,
5453,-27.449144624771705,62.363095864343606,,
5585,-27.487730633683658,62.38724733303955,,
5596,-26.842981744252302,62.127254106121775,,
5606,-24.483862097366636,62.66833279860641,,
5615,-26.81623416011773,62.06507746092175,,
5727,,,,
5735,-25.25107620435387,61.96439193111161,,
5791,-27.76785700072154,61.065569845307685,,
5845,-25.372872423591016,62.01527900673796,,
5870,-23.366462359997367,62.713740038075386,,
5894,-22.724064956056807,62.46714754074344,,
5897,-22.111344629433862,63.263234881746655,,
5903,-19.794863922871574,63.785256603180464,,
5906,-18.652126295814213,63.572553548214955,,
5914,,,,
5916,,,,
5936,,,,
5939,,,,
5943,,,,
6023,,,,
6035,,,,
6071,,,,
6134,,,,
6174,,,,
6228,,,,
6238,,,,
6282,,,-12.588903343148413,35.42497517697181
6294,,,-10.530454426101082,36.2297208108775
6489,-17.54452531981833,63.16704715390741,,
6593,-16.594382498988253,62.78731589638652,,
6710,,,,
6736,-19.2959987176534,60.758116142517316,,
6749,-17.61908521685267,60.492686483614015,,
6762,-17.25644553812437,60.22871717875772,,
6970,-16.079771471062976,62.1349570931483,,
7074,-15.809411550166388,61.90301071404271,,
7139,,,,
7191,-12.91930281458639,62.67295731390599,,
7256,-12.902785268614371,62.68479761648743,,
7334,-12.470040789663162,62.51584099033863,,
7347,-12.444282808431726,62.50363383189883,,
7399,-10.208844578338157,62.429100587503605,,
7412,-9.310071416084957,61.910955411966796,,
7542,,,,
7607,-8.7731691271228,61.52385759694839,,
7698,-10.838371950879063,60.96268492526512,,
7854,-11.732994786720957,61.00550610953277,,
7867,-9.940827579792822,60.66866160526545,,
7880,-9.473061425263294,60.317262701318,,
7971,,,,
8088,-7.502179641505936,59.726959972862744,,
8192,-6.033693152709166,59.178376089580155,,
8309,-5.72444719048799,58.92410364716304,,
8361,-4.652008921989473,58.28300069793715,,
8387,,,,
8400,-3.024217839288758,63.03940680695692,,
8460,-2.426813005480217,62.54118313588808,,
8472,-1.6888936034135986,61.9022674890892,,
8520,-1.3277154503681232,61.59311052899162,,
8532,-0.4855756881146226,61.00460693471434,,
8712,-1.4819429748563562,59.943421848574005,,
8778,,,,
8800,-3.662485278813401,59.48181376709986,,
8910,-1.1927791353838983,59.2379995642752,,
8919,3.1398641215113456,62.366282015388805,,
9055,3.681449905227637,61.86674321973649,,
9062,,,,
9111,2.337981931058457,60.09076861426848,,
9165,2.9176563101855573,60.43210617826488,,
9190,3.3128661873738747,60.014421923464496,,
9198,,,-12.495995689279948,36.9381278706469
9223,1.8500731659482699,60.53753735056094,,
9227,-0.09275913346675224,58.99267837193766,,
9230,,,,
9239,0.5950822731282096,58.35341578721336,,
9241,1.3492648829321843,57.708908613170884,,
9256,,,-12.45986853636558,36.273007258100236
9272,,,-11.191818912033341,36.26821769733913
9284,,,,
9305,,,-11.737371483384534,35.77944514771938
9309,,,-9.61684446493605,37.06443006172339
9394,,,-10.56787425896755,36.86298671160309
9424,,,,
9442,,,-10.593075901331208,36.30043991187143
9505,,,-11.357099321593363,36.03093891608392
9545,,,-11.1443919195673,35.534133246056996
9563,3.7408546208532063,58.57652823078256,,
9608,,,-11.391666074181153,35.06765444335145
9618,,,-11.65469282140721,34.62650360580105
9662,,,-10.897221023340535,34.47711572782604
9674,,,-12.12036598342559,34.857480241975175
9713,,,,
9869,2.4492017965973356,58.30601328583416,,
9973,2.9616559726023115,57.796460053096865,,
10116,3.7835366753232664,58.1689729975957,,
10129,3.999470541833434,57.923625249723074,,
10142,,,,
10350,3.7497207752300894,57.7180697752877,,
10454,2.54237161082332,57.420878862811065,,
10532,,,,
10571,2.3980063675076235,57.514055434935635,,
10636,0.7412880599184427,56.59673636498237,,
10662,-1.024625827552518,56.369506305943915,,
10688,3.300085881050909,63.88384125514101,,
10740,2.5961691309476738,64.2590807977659,,
10753,2.490364075532416,64.29804839531052,,
10792,4.128029599214205,64.26097118486051,,
10818,3.9161740837490653,64.24596657158983,,
10974,,,,
11013,6.58339854793041,64.62355814761236,,
11247,5.600724348447984,63.376702901929875,,
11260,6.417542006237199,62.75525728110456,,
11390,,,,
11481,7.471098946401616,64.31198752609052,,
11585,7.907537855118281,64.55349036487611,,
11702,7.880524423409952,64.56808406766,,
11754,7.579026813533855,64.83232416220721,,
11793,9.122982930139406,66.54169599390897,,
11817,9.140082129108487,66.5335147653256,,
11828,,,,
11861,13.135030013819923,69.39146905328897,,
11872,12.967206835899269,69.54135337845574,,
11916,13.785583723088493,69.19347141147638,,
11927,12.163306310897461,69.9164741926966,,
12092,15.27024682847201,70.82159026526297,,
12162,,,,
12272,13.852417690748116,71.36404902013676,,
12281,12.540462454011431,72.06400369128592,,
12409,12.09351311949431,72.49803903499222,,
12416,12.092515844468727,72.49839019979997,,
12494,,,-13.425363441161972,35.37068767811047
12522,7.291258670751704,66.67611652115569,,
12546,10.463506984374254,68.10116596433019,,
12557,9.97096393929678,68.53384650651041,,
12561,,,-11.285934370222272,37.465417856683466
12586,9.73253815034288,68.74623878905312,,
12602,8.959724812241038,69.32116013770496,,
12605,9.263933400757377,69.48337841346681,,
12635,,,-11.477396386305156,37.03700964602046
12689,,,-10.577494814067059,37.065505670537384
12693,,,-11.350887268745613,36.99118342691574
