step,train_return,train_std,test_return,test_std
637,,,,
689,,,,
702,,,,
845,,,,
988,-65.68744849315844,1.4581607080689223,,
1001,-66.55058609240223,2.34454539693128,,
1027,-67.33220785854792,2.443621082589446,,
1079,-41.87077823374253,48.24224263997089,,
1586,-24.181511549477104,78.92343940928046,,
1729,-21.67874227293311,76.82019673041881,,
1742,-24.946586161646792,75.4499222452153,,
1924,-26.116921271661877,73.34672148345355,,
2093,-26.948510363670923,71.362617726574,,
2106,-28.56741560591074,69.79803567169265,,
2119,-30.00941432628206,68.32046062730426,,
2132,-29.134695260363166,66.7886014131222,,
2184,-32.10398531859084,61.5152704482516,,
2431,-33.238047659775745,60.641686348685376,,
2648,-34.008054115642416,59.68321768271412,,
2792,-33.436253767427715,58.72316972711177,,
2842,-34.54965006445151,58.04664959167266,,
2924,-35.26623848224018,57.23746796146345,,
2981,-36.47180125896489,56.73450076165665,,
3024,-35.74442480650495,56.01959052390453,,
3037,-35.18559983020719,55.22618047053546,,
3046,-36.07632299827532,54.708128054459586,,
3061,-33.250555264210746,55.24970215667628,,
3073,,,,
3111,,,,
3129,,,,
3165,,,-49.677959226444365,8.863893496832047
3200,,,-38.247635578348614,26.80923970270454
3236,,,-35.36106849787757,25.807992449861896
3243,,,-38.16360461572185,24.062763622946054
3252,,,-39.265651850542056,23.066111653817426
3262,,,-37.7407096337781,22.515155365291385
3317,,,-32.76540560379195,26.099997901289804
3577,-32.96184981693168,54.58449442165475,,
3733,-31.278650637883047,54.955650143818374,,
3772,-32.10891668754301,54.55711494390025,,
3863,-32.83688136529896,54.124999048761495,,
4058,-30.148665265727356,56.33538295879721,,
4123,-31.026178679239656,56.009200713018,,
4188,-31.86286652675003,55.68066399414654,,
4240,-32.71360207138725,55.38649911546995,,
4331,-28.59747278149204,61.644570460360086,,
4344,-29.186730779310224,61.14873476412117,,
4370,-30.010063961189736,60.807897569958726,,
4396,-29.967536101457227,60.78340436844456,,
4435,-26.025466252420593,61.61805775004418,,
4695,-24.2658079293459,61.75050855329766,,
4721,-24.276073744846073,61.75784303990653,,
4838,-24.1618926935918,61.67682359805621,,
4851,-24.12825934641718,61.65231076735199,,
5137,-24.203747344172587,61.71001093376623,,
5228,-25.825234786439687,60.49971959085196,,
5332,-27.811290902462787,59.53464125422942,,
5384,-27.81332803454716,59.536077316159236,,
5444,-26.283074837089515,59.40289362302089,,
5456,-27.84137944533024,59.15252513638946,,
5468,-31.814611889296213,49.153918146172174,,
5504,-31.34706118120346,49.689658059285705,,
5526,-31.584788516690022,49.75396882492686,,
5735,,,,
5779,-32.13832962602842,50.00989392513794,,
5849,-32.23121349070687,50.061584067366184,,
5858,-30.228078580717558,51.008965555695994,,
5866,-31.16259584873449,51.08782826360493,,
5887,-31.17279693692457,51.09580558161308,,
5971,,,,
6091,-30.712055232669226,50.86863403329613,,
6111,,,-30.907429436388025,26.027466681027526
6141,-30.592544836807065,50.85004344475766,,
6146,-28.516019499558023,52.18560168229442,,
6150,-28.54333477452863,52.1681577525026,,
6159,,,-31.716391827072947,25.326448016585264
6167,-26.46420039583463,52.34281649873734,,
6213,,,-33.30007150295569,25.277663624291044
6216,,,,
6234,,,-32.30911089161493,24.841224335985814
6238,,,-29.096063353839174,27.537362136201274
6243,,,-28.040120631352213,27.17472585724354
6261,,,-22.673320193582914,35.33823468968842
6408,,,,
6499,,,-22.606596347072074,34.48787674488717
6531,-25.831589738395998,52.63853698682424,,
6571,,,-23.868985976616386,34.18794473219388
6580,,,-21.845659480566848,34.757189175465804
6590,,,-21.17318330279765,34.177879267551546
6612,-24.74387778666336,52.34101343933443,,
6645,,,-20.46847594265665,33.48402647278948
6710,,,,
6944,-22.52421072751633,53.28089077220337,,
7035,-18.97754556956119,55.59843705870455,,
7048,-16.967299503370885,57.57924654022211,,
7061,-17.15381427076063,57.497537759098655,,
7100,-14.94451031891047,57.748398303902974,,
7139,,,,
7464,-9.172767849651864,66.05610160382415,,
7542,-10.328080262703589,65.13174131451176,,
7555,,,,
7594,-7.7255363184714225,66.77996293561031,,
7659,-7.1098139252059624,66.64606907576245,,
7672,-7.7340782001160555,66.92543084471981,,
7685,-9.203896027134032,66.75450489181851,,
7724,-8.917784153373214,66.54013263315657,,
7750,-8.84351443233085,66.62387981490065,,
7971,,,,
8049,-6.826472390989075,66.27858426930987,,
8114,-6.789836372757564,66.24442067708466,,
8166,-4.815031270614127,65.7454485985715,,
8218,-9.4528026867297,61.66496292092005,,
8231,-9.660246092752786,61.84333773323804,,
8387,,,,
8595,-9.18921732557821,61.467825124054535,,
8715,-8.837595625001704,61.20333954364196,,
8770,-6.870285321202828,63.729212989588675,,
8781,-5.53043405776727,65.46923731024917,,
8792,-6.631349450646667,65.43480890275445,,
8825,-4.6850584505114234,65.00709583663244,,
8845,-2.982651061847573,63.90894207834138,,
9075,-1.7138919919577893,63.12727576860304,,
9093,,,,
9120,0.42217291695647874,64.27094062502542,,
9153,1.4840555317059625,63.91121310233981,,
9181,4.767760765870334,64.37882305397906,,
9187,3.9870506976463367,64.59507970015731,,
9272,,,,
9327,,,-21.218940746638477,33.08017496250419
9387,,,-22.526305081235478,33.18680981332334
9422,4.5149511900462675,64.20530878060599,,
9428,4.409363048543455,64.20528333548465,,
9433,4.6730091026902665,64.36435943713606,,
9437,,,,
9445,,,-23.802975263747644,33.30199834606127
9455,5.960806336264358,63.30714640540466,,
