mode,algo,seed,run_id,rows,name
img_mc_cells_substrates,SAC,123,2le6g2mh,1686,best_hyperparameters_SAC_img_mc_cells_substrates_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed123_123_img_mc_cells_substrates_targeted_1782402238
img_mc_cells,SAC,123,j0eh34z8,1681,best_hyperparameters_SAC_img_mc_cells_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed123_123_img_mc_cells_targeted_1782448292
scalars_macrophages,SAC,123,bkruooc7,1762,best_hyperparameters_SAC_scalars_macrophages_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed123_123_scalars_macrophages_targeted_1782491660
img_mc_cells_m1m2,SAC,123,fuamo8p2,1645,best_hyperparameters_SAC_img_mc_cells_m1m2_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed123_123_img_mc_cells_m1m2_targeted_1782731692
img_mc_cells_substrates_m1m2,SAC,123,zbu93iv4,1712,best_hyperparameters_SAC_img_mc_cells_substrates_m1m2_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed123_123_img_mc_cells_substrates_m1m2_targeted_1782775674
img_mc_cells_m1m2,RANDOM,123,awei2uy4,1191,best_hyperparameters_RANDOM_baseline_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed123_123_img_mc_cells_m1m2_targeted_1782824128
img_mc_cells_substrates,SAC,1,ut9nzyzd,1696,best_hyperparameters_SAC_img_mc_cells_substrates_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed1_1_img_mc_cells_substrates_targeted_1782991793
img_mc_cells,SAC,1,oqv969ti,1713,best_hyperparameters_SAC_img_mc_cells_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed1_1_img_mc_cells_targeted_1783015546
scalars_macrophages,SAC,1,5fk9ipci,1745,best_hyperparameters_SAC_scalars_macrophages_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed1_1_scalars_macrophages_targeted_1783033173
img_mc_cells_m1m2,SAC,1,ecz5jncn,1703,best_hyperparameters_SAC_img_mc_cells_m1m2_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed1_1_img_mc_cells_m1m2_targeted_1783052233
img_mc_cells_substrates_m1m2,SAC,1,z1q40w0i,1684,best_hyperparameters_SAC_img_mc_cells_substrates_m1m2_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed1_1_img_mc_cells_substrates_m1m2_targeted_1783071059
img_mc_cells_substrates,SAC,2,892oqg24,1689,best_hyperparameters_SAC_img_mc_cells_substrates_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed2_2_img_mc_cells_substrates_targeted_1783094262
img_mc_cells,SAC,2,nw0780f8,1701,best_hyperparameters_SAC_img_mc_cells_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed2_2_img_mc_cells_targeted_1783124277
scalars_macrophages,SAC,2,nh9gh60y,1741,best_hyperparameters_SAC_scalars_macrophages_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed2_2_scalars_macrophages_targeted_1783152291
img_mc_cells_m1m2,SAC,2,sh96ih2z,1675,best_hyperparameters_SAC_img_mc_cells_m1m2_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed2_2_img_mc_cells_m1m2_targeted_1783183375
img_mc_cells_substrates_m1m2,SAC,2,slcsfy7w,1689,best_hyperparameters_SAC_img_mc_cells_substrates_m1m2_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed2_2_img_mc_cells_substrates_m1m2_targeted_1783211693
img_mc_cells_substrates,SAC,3,e5akbgi4,1684,best_hyperparameters_SAC_img_mc_cells_substrates_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed3_3_img_mc_cells_substrates_targeted_1783248061
img_mc_cells_substrates,SAC,4,rap30rah,1667,best_hyperparameters_SAC_img_mc_cells_substrates_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed4_4_img_mc_cells_substrates_targeted_1783279262
img_mc_cells,SAC,4,dodkht78,1699,best_hyperparameters_SAC_img_mc_cells_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed4_4_img_mc_cells_targeted_1783299937
scalars_macrophages,SAC,4,6mmp10hh,1707,best_hyperparameters_SAC_scalars_macrophages_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed4_4_scalars_macrophages_targeted_1783317511
img_mc_cells_m1m2,SAC,4,nl3376a3,1669,best_hyperparameters_SAC_img_mc_cells_m1m2_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed4_4_img_mc_cells_m1m2_targeted_1783336504
img_mc_cells_substrates_m1m2,SAC,4,upcqe8vl,1705,best_hyperparameters_SAC_img_mc_cells_substrates_m1m2_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed4_4_img_mc_cells_substrates_m1m2_targeted_1783354868
img_mc_cells_substrates,SAC,5,9klwl88v,1724,best_hyperparameters_SAC_img_mc_cells_substrates_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed5_5_img_mc_cells_substrates_targeted_1783376729
img_mc_cells,SAC,5,sg5fwuvv,1673,best_hyperparameters_SAC_img_mc_cells_w_cell=0.3_w_dose=2.0_w_smooth=0.0_seed5_5_img_mc_cells_targeted_1783400154
