step,train_return,train_std,test_return,test_std
676,,,,
689,,,,
715,,,,
910,,,,
1053,-6.853164887019934,69.85579951878034,,
1690,-11.014017882723627,68.96621140402341,,
1729,-12.821757245156913,66.97014257735326,,
1742,-15.824849931959761,65.87841818313503,,
1768,-18.66512031631325,64.91338875305458,,
1807,-21.398660104281994,64.08337539671146,,
1937,-24.119942370581587,63.433703905967434,,
1950,-28.424261792318983,61.77921670454727,,
1976,-27.210128211253917,60.614710017869555,,
2119,-23.343315218178198,58.96531938403804,,
2340,-14.495738487275958,73.3716869845942,,
2808,-15.675300574727641,72.30979814435993,,
2821,-12.50735822817685,73.00281305122589,,
2847,-11.239807425190277,72.09963630781296,,
2886,-12.71593129670838,71.38653131250027,,
2899,-14.663769729027308,71.09431772294185,,
3029,-13.861499134697036,70.27429002349761,,
3055,-11.058795612251561,71.16495997203617,,
3185,-12.78863193182628,70.91194538266139,,
3211,-8.590187020802263,69.68381266961865,,
3432,,,,
3900,,,,
3913,,,,
3939,,,,
3952,,,,
3991,,,,
4121,,,,
4147,,,,
4277,,,-33.319291687756774,20.513184233667914
4303,,,-30.37174961409675,20.05475884924438
4524,-8.955867273744115,68.84513827655816,,
4875,-10.463347037628942,68.66550501967954,,
4940,-11.82415547653138,68.40039920654797,,
4966,-13.09878328439274,68.10320120733988,,
5018,-13.86876858360169,67.51392156076321,,
5044,-13.155086981049358,66.92719072571226,,
5057,-12.186586686672735,66.51378473791596,,
5096,-11.200657675933975,66.14127833180667,,
5122,-12.45296083016198,66.00937916738,,
5239,-13.570841679577175,65.78980525311665,,
5382,-11.754862851062352,66.35754427277462,,
5408,-8.83229374887378,66.17576103171218,,
5629,-7.075014787446271,65.87154206701821,,
5954,-7.064795373621892,65.86204550572839,,
5993,-10.828050125091831,63.415482114009514,,
6058,-12.560832914558269,61.88299817495787,,
6084,-11.163865843865642,62.23717448422771,,
6136,-13.317037312652538,61.910528273694986,,
6162,-13.25334994845427,61.86206776547576,,
6175,-13.25635368054136,61.86453803506089,,
6214,-15.56071473994627,61.39548364916573,,
6240,-15.693993175414944,61.494698475693134,,
6500,-18.181834767045075,60.50657756482708,,
6526,-14.296629275077576,61.29093276166075,,
6747,-12.983428133980924,60.98159672304041,,
6929,-13.106700537683064,61.09095351543263,,
7046,-13.062837191897998,61.05239369652556,,
7085,-12.35518655542619,60.555408727735895,,
7111,-12.305163779914,60.50995640487802,,
7124,-11.51445956578813,60.00646172211044,,
7137,-12.886202779161103,60.548232476471775,,
7202,-12.404969314756164,60.21287464443516,,
7254,-13.166970107755915,60.386332102185115,,
7280,-15.326818392691493,59.928711413167214,,
7605,-13.983599022199924,61.29500698813938,,
7631,-19.183664456904225,52.02390505672261,,
7852,,,-31.530470193846018,19.771684042065186
8034,,,-29.204417976535236,20.990603978506535
8151,,,-27.520544516199152,21.344766615670732
8190,,,-29.236244566560558,21.815066895751045
8216,,,-30.71278282248467,22.05722607725068
8229,,,-30.25733934856314,21.555708286874474
8242,,,-28.499648794101084,22.363277429326967
8307,,,-28.40950636205352,21.828046968897375
8359,,,-28.538017760570668,21.33431544053313
8385,,,-27.458450303848267,21.471003782780958
8697,,,-28.788465578642597,21.965453280415964
8710,,,-30.14802390388213,22.52872531802556
8736,,,-29.829754146380136,22.148475183170405
8957,-21.101017515640997,50.208299500805296,,
9113,-22.883254211582535,50.10328282625791,,
9139,-21.04463276763301,50.502778116586285,,
9256,-19.540134548478235,49.98950505123504,,
9295,-20.987426068399508,48.90691982170892,,
9308,-21.33738614803966,49.21040104481296,,
9321,-22.243307218792324,47.65081770407247,,
9334,-22.169722490514104,47.57464577589917,,
9360,-24.13138971875276,47.22382404936375,,
9373,-26.429400152888558,46.72356621248362,,
9425,-28.70661047152098,45.77586582924603,,
9815,-29.328753843892773,45.90823230577801,,
9828,-29.355488750439545,45.93273639922052,,
9841,-27.66256071287062,46.05107538105646,,
9867,-27.76948302094679,46.14753927716042,,
9984,-28.10478456673998,46.3463665557018,,
10244,-24.845416920239515,54.504040889714595,,
10309,-26.813895200899278,54.213846731298034,,
10374,-26.897662217168545,54.122741347814475,,
10413,-25.906699408570713,53.75281519920483,,
10426,-25.851334981451217,53.71163517387705,,
10439,-26.842946885236014,52.236879484208295,,
10478,-29.20167050408985,51.1798539853603,,
10530,-28.334730347636796,51.347176750625614,,
10582,-30.173796944152272,51.06611089200225,,
10595,-30.082968037854588,51.00271032883272,,
10959,-29.951772961560344,50.9313876189059,,
10985,-29.393369169460783,51.411816288102685,,
11037,-31.54431822865794,50.759564269728976,,
11206,-31.721169335018494,50.86203736895265,,
11362,-30.147657453320573,51.31803147690576,,
11427,-25.974545881660305,56.93957263697462,,
11518,-25.851865488594047,56.862559441216106,,
11531,-23.63692739083024,57.83629719185991,,
