step,train_return,train_std,test_return,test_std
351,,,,
650,,,,
689,,,,
702,,,,
858,,,,
884,,,,
1092,-5.14080053444307,79.482837141772,,
1222,-9.80401052552874,78.41531564687465,,
1391,-13.59944058766899,77.0759689989348,,
1547,-16.60496242820227,75.53084375149862,,
1573,-19.484063738066812,74.1751515190597,,
1729,-18.768220586792772,72.14568854545257,,
1768,-21.282535529732215,71.02707245046805,,
1937,-17.204109267692548,71.47475375657365,,
2158,-19.552446032020573,70.53839765752325,,
2171,-14.530488494832893,69.76374170747764,,
2301,-16.23509659981614,69.0091954727249,,
2405,-18.23014921080903,68.55402515388874,,
2626,-19.8306617854155,67.89199696414298,,
2639,-17.544296754838435,67.87691529470739,,
2665,-13.129667341863106,71.01635319437618,,
2821,-10.585593883359252,71.31872263299044,,
2899,-12.357000796692304,70.9411045112253,,
3237,-13.873313116680091,70.43078288188035,,
3250,-14.209081009343768,69.21574807461846,,
3380,,,,
3484,,,,
3705,,,,
3718,,,,
3744,,,,
3900,,,,
3978,,,,
4316,,,,
4329,,,-15.54352010463257,24.734193259930443
4381,-15.675874910622952,68.95619752129016,,
4472,-16.56828680782431,68.3435334986642,,
4537,-17.808781933596556,67.990588196853,,
4797,-19.041587260814364,67.66865553621415,,
4810,-19.73590067560541,67.05003170370186,,
4992,-19.091113412651854,66.43865730150576,,
5070,-17.370190236416303,66.71886943813217,,
5174,-18.31773930869531,66.31740198198021,,
5304,-19.394947149007447,66.03719071646826,,
5343,-20.478240554422918,65.78937272829245,,
5369,-21.419689783521463,65.46072668860381,,
5395,-21.599818886884023,65.58643836515584,,
5434,-21.367372057691682,65.46092858383022,,
5486,-24.49587912870804,57.686424131203715,,
5577,-24.355355137719307,57.574054136465364,,
5590,-23.544066209776794,57.21544739888042,,
5772,-19.391357910109217,66.47179747299099,,
5915,-18.379418320839758,66.47254673083502,,
6084,-18.86150323442882,66.75013171336616,,
6149,-21.59186547344318,65.86107078583716,,
6175,-20.88382016900694,66.3675097658348,,
6279,-21.273614270768594,65.81315931859433,,
6396,-22.23944060393376,66.18754322279041,,
6409,-20.36710142881377,66.12205176456565,,
6474,-20.23793929285137,66.03760380814904,,
6539,-20.329144429976587,66.09790916389609,,
6591,-20.345131633097772,66.10894054291097,,
6656,-21.577926685551645,66.41512488449321,,
6695,-21.304374608809596,66.25735031432208,,
6851,-23.79587384738261,65.48009364573159,,
6903,-23.371209760981145,65.27015546871975,,
7046,-24.465255734117235,63.92544804886104,,
7176,,,-18.685708361469942,26.390059373601083
7280,-26.483800393189302,63.27420305559962,,
7306,-28.725775770763867,62.89750009104338,,
7527,-28.27407985079568,62.6924250636202,,
7540,-27.808252780386248,62.49456674387308,,
7605,-27.126233407976105,62.3193030908492,,
7670,-26.58424432859756,62.04306997025912,,
7722,,,-20.74554543339182,26.63469956352933
7787,,,-22.85735779901006,27.05486169897518
7826,,,-23.880383435958613,26.564149680547537
7982,,,-23.614477049604627,25.838983166469884
8034,,,-24.462566753279564,25.405905365259613
8177,,,-18.17113581992453,36.949248796849126
8307,-23.58111145204108,63.7390067487161,,
8411,,,-16.589433378351497,36.74603213485643
8437,,,-18.57131107878575,37.03214215084771
8658,,,-18.586670120439045,36.21822116226693
8671,,,-19.92851830946165,36.03492330254649
8736,,,-21.419597197668626,36.054606634161864
8801,,,-20.371159692769513,35.74098071794591
8853,-23.211259290619637,64.20961741428944,,
8918,-24.051294266904588,62.593992373356656,,
8957,-26.21527885206684,61.21973998406382,,
9035,-26.137991874860017,61.16804194377307,,
9113,-23.974056416777312,61.70492838295824,,
9295,-26.948839076188744,60.06839269440657,,
9425,-23.94936768193671,61.581218077947646,,
9529,-23.92377484754601,61.5666779197123,,
9555,-25.68690771232301,61.39906445363539,,
9776,-25.51652915901679,61.31352122442377,,
9789,-25.48237774532463,61.287600038057384,,
9854,-25.618142464423435,61.35426061206145,,
9919,-22.59444988172676,62.86487736806081,,
9971,-22.57743211459543,62.85193421685798,,
10036,-20.913830320017297,63.214679579455634,,
10075,-20.060987215563074,63.90020213393077,,
10114,-22.65701062784472,63.22509400611906,,
10153,-21.24411258649954,63.12149768391792,,
10413,-21.238786536231054,63.11739264734166,,
10556,-20.90778936183022,62.89081563857528,,
10660,-20.416505705396993,62.61989709560188,,
10686,-19.543730340469047,62.201172212924625,,
10842,-19.922004175945766,62.450081242735884,,
10868,-19.89657987957413,62.431248335965094,,
10907,-21.621573068374417,61.610658007122495,,
10920,-20.1272566761967,61.397721313759334,,
10985,-20.807525400347657,61.68045044888255,,
11050,-26.527211145870968,51.48341070264111,,
11089,-25.664394875905128,52.38270256262035,,
11154,-25.627621549550096,52.35288512628767,,
11258,-23.729870196222908,52.542026421408806,,
11362,-25.92736164939648,51.96826387269769,,
11661,,,-20.99080202505165,35.214894690080946
11765,-27.118330654577004,50.57651340106129,,
11778,-27.042539039552793,50.51276863787836,,
11947,-28.828363349810825,50.283115656067125,,
11973,,,-21.928418701090518,34.92185988566935
12012,-28.865750376843497,50.30717424341822,,
12025,-27.4287985021068,50.24495359797474,,
12090,-24.953259401526886,51.30443038240083,,
12155,,,-22.63828436501228,34.519455114302936
12194,,,-21.268384413273694,34.73176028456073
12259,,,-18.57296176985537,37.220176272620094
12363,,,-18.649402371353062,36.636467315258926
12467,,,-19.119393424194474,36.174930677289936
12766,-23.80084152331634,50.965225066692774,,
12870,,,-17.152672601510215,37.386900342317276
12883,,,-18.12007083890411,37.27818335977477
13052,,,-19.38819312343306,37.51460915915457
13065,,,-20.12837461173468,37.26973028559618
13091,-20.912898621895,53.27539075365918,,
13130,,,-20.841823188075644,37.031238558426935
13195,,,-21.703763292937463,36.937548851686365
13260,-20.07358280167042,52.91477025969945,,
13299,-19.98030209440796,52.87433796218043,,
13364,-21.76983094551775,52.72977347424222,,
13468,-21.812141461700083,52.75759799353574,,
13572,-21.172846702441458,52.3246847686768,,
13858,-21.572231020584585,52.586060309467825,,
13871,-22.09612845238473,52.92613323814482,,
13884,-21.57670094249479,53.00819642701636,,
13923,-22.013767453298787,53.28885226768083,,
14001,-24.35485610466916,51.037269797726665,,
14014,-24.12505217998754,51.47323802943447,,
14157,-27.119367973501795,49.81347885871065,,
14183,-27.6355453326134,50.07645636419053,,
14235,-27.640833813466596,50.08043464344707,,
14430,-29.93907530949684,49.35845563511537,,
14456,-30.021550746795256,49.422606157249824,,
14495,-30.36684796666028,48.706336006631616,,
14599,-28.847905496511956,48.99556493067542,,
14677,-28.815351678882145,48.97337261830586,,
14911,-29.2012618875521,49.23105873278778,,
15002,-28.927162084646408,49.03437072127332,,
15015,-29.117721358120324,49.169404674935734,,
15054,-31.27046472515154,46.51962699883033,,
15132,-27.67392153839406,50.19500218950775,,
15145,-26.225606152255203,52.912916479445464,,
15301,-26.134889309323043,53.05052807005824,,
15353,-23.4058507703949,54.23420474158969,,
15548,-22.516947681897435,55.11093516020946,,
15574,-17.46011752258346,61.74500939461813,,
15613,-16.997849547986988,61.54147833883167,,
15626,-17.540256194298273,61.8866904426128,,
15795,,,-21.750469331468775,36.47407338094862
16029,-13.927238691181993,66.28179849071374,,
16042,-13.857481768091093,66.22434831090456,,
16120,-12.072787851762842,66.0099226057939,,
16133,,,-21.44672061369127,36.07770507579487
16172,-11.128441820029984,66.02178310162464,,
16250,-12.20754900120839,66.1457296190449,,
16263,-8.841553846366587,67.73587534901628,,
16419,,,-22.304362006465368,36.06615875465985
16666,,,-21.779687197799767,35.8061350427035
16692,,,-21.709740836138238,35.399880195502874
16731,,,-21.120482212622623,35.22189146347903
16744,,,-21.003489434462846,34.84578024915248
16913,-7.242370562534197,67.3151801092457,,
16965,-9.60114611330384,67.3482679171698,,
17095,,,-21.905295783997527,35.011476263842155
17160,,,-22.04655206380691,34.65838577743953
17173,,,-21.939123048216025,34.31097945352505
17251,,,-22.45479090852372,34.15740327666281
17290,,,-22.340011504662108,34.10432206510477
17381,,,-22.013544474501977,33.9526952602636
17537,-9.255453556426218,67.09567506767613,,
17745,-11.242143759712926,67.43315366073871,,
17784,-11.160512021346367,67.36910891882557,,
17810,-12.316150841428316,67.60086146258087,,
17823,-12.299648950411356,67.58744008520193,,
17849,-12.425201246453799,67.69301276599109,,
18070,-11.023397138509317,67.37382311526807,,
18200,-12.197359048746875,67.58501148029302,,
18213,-14.753714084163658,67.31992694532661,,
18265,-15.441460534887737,67.44968741700978,,
18278,-17.069343857685453,65.81049783589071,,
18395,-15.593318122135825,66.50012010336476,,
18486,-15.949455259660608,66.6806423769734,,
18642,-14.835924835119513,66.37741221441318,,
18655,-15.000757313564536,66.49337079808082,,
18850,-15.513382584022475,66.7906608876749,,
18889,-14.121891102332738,66.45478165933201,,
18915,-13.6032184151822,66.12343898814407,,
18928,-14.775372214092059,66.39934949854427,,
19175,-12.499106592690223,66.525845419061,,
19305,-12.836065411288873,66.66397462178398,,
19318,-15.779467838099809,65.79889170826907,,
19383,-14.583990717428387,65.30027763572701,,
19396,-11.906503417044297,65.89030657991297,,
19513,-10.246637840940966,65.56532052502187,,
19604,-9.78147891372384,65.21687410546005,,
19760,-9.207944191805437,64.80553754028736,,
19773,-8.6601609802054,65.52492272723954,,
19955,,,-22.543444944021175,34.361934277477765
19981,-9.693123188461177,65.50882986322476,,
20020,-9.737570481519215,65.54464918766259,,
20046,-9.655099095995539,65.46950729562147,,
20293,,,-22.827241461981902,34.14430947131305
20423,-9.51645635030698,65.37538033503918,,
20436,-9.336925046029501,65.2250859818098,,
20501,-10.202357056601905,65.71402179031895,,
20514,-13.331944074722706,63.614239249769774,,
20631,-13.894158101807115,62.67435166397439,,
20722,-15.898678101169644,61.99127819167751,,
20865,-18.57295476805768,61.24910541607145,,
20891,,,-22.592515485172044,34.0398862591108
20904,,,-22.069050955359707,34.351750833944365
21008,,,-23.57433547567285,34.510605249553414
21112,,,-23.127490917217802,34.5850966091872
21177,,,-22.53910372502927,34.78005423235602
21424,-18.448030418168926,61.401516752346446,,
21554,,,-24.049222101094784,34.13305030914641
21567,,,-25.26852586249879,33.54627112448597
21580,,,-26.23015218707791,33.93286701380938
21593,-23.436082356769766,54.57832251299233,,
21645,,,-26.200764909708525,33.935622279025274
21762,,,-25.429812812903545,33.60585594892904
21814,-24.197005122352564,54.96757934590605,,
21853,,,-25.625872949758197,33.77437122152294
21996,-23.149690267045226,54.58037378775004,,
22022,-27.164813367409806,48.55987743125199,,
22139,-27.221405870413584,48.60755993227615,,
22282,-26.922475310386798,48.964502126194084,,
22529,-26.9680073457674,48.92855382388312,,
22633,-27.494683060208043,49.273637985526506,,
22672,-30.360546407014773,45.491598083800675,,
22685,-28.38821151740587,49.353558828733505,,
22698,-28.090466290150943,49.15617369550348,,
22763,-26.409850917406438,49.813727697725,,
22880,-26.4149655533061,49.818353792737526,,
22919,-26.561411068927555,49.93349235340803,,
22932,-26.8605529330243,50.14231663634691,,
22971,-26.855110991731344,50.137988559858826,,
23114,-26.628489118687867,49.956997749547014,,
23153,-28.004378468859066,49.933232082894065,,
23270,-26.575549769903592,50.21606462307201,,
23413,-26.662093726069724,50.29516749640819,,
23491,-27.103580398409687,50.55047818449682,,
23595,-28.636231951843072,50.55975515075406,,
23660,-30.225697399283817,49.24839609826173,,
23764,-30.186459219920508,49.22668670215834,,
23777,-31.444336300263238,49.38747689975517,,
23855,-31.563665233770443,49.47741031690912,,
23894,-31.0787700999566,49.24875724113708,,
23959,-32.41624269037886,49.18900436782526,,
24050,-30.398844686193915,50.747402924940296,,
24102,-28.35040717997268,51.60777561382061,,
24245,,,-24.96062531091331,33.52507223966322
24310,-30.635156917831917,50.74448391820301,,
24401,-28.36328828319354,52.41406199664884,,
24544,-25.395594491450176,54.230924645760986,,
24635,-26.36600544742687,54.42765185658711,,
24739,-29.00397360370989,52.9595116165281,,
24804,,,-24.60993041109352,33.45495272882159
24908,,,-24.60603063775285,33.455606832243646
24921,,,-24.59167103581189,33.44926660021805
24999,-30.667406175746873,52.77698869490977,,
25038,-28.34149889987457,54.523392428946906,,
25103,,,-26.486120933986385,28.591437978492614
25194,,,-27.45980405656912,27.983024386899558
25376,-25.4211634767105,57.55161012326493,,
25441,,,-24.906904656256664,30.58234029922664
25532,,,-25.254424244615365,30.611097724587932
25675,,,-25.363634774399106,30.711585040695986
25766,,,-24.69510844318487,30.373124025008785
25870,,,-25.524038848730854,30.092743756502045
25896,-28.586533161369445,55.41023271562305,,
25948,-28.92680988736247,55.49448664626295,,
26052,-28.848255188872862,55.44806294242706,,
26130,,,-24.49851364664093,30.55095186769097
26156,-28.763842614738095,55.39261563903565,,
26169,,,-23.064498410591042,31.126986674896276
26234,-29.039791903270235,55.53457678942836,,
26325,-29.15020742654597,55.60068543406208,,
26429,-29.082800362126726,55.555092924423384,,
26520,-29.16733738878538,55.58492363004725,,
26585,-31.97246203740855,53.61540511674703,,
26663,-32.412072094583706,53.80011665491309,,
26702,-32.39856927932968,53.79152015649109,,
26897,-33.509134276930126,52.440404174807824,,
27066,-31.014029872412213,53.771015865402575,,
27170,-30.57135763193888,53.53174215693005,,
27196,-31.610698285507386,53.77646920845501,,
27274,-32.074180359173916,54.016848662189744,,
27287,-28.813811022680603,56.518747998592595,,
27365,-29.439025530644575,55.938874936397205,,
27443,-31.052562201150575,55.925375858826584,,
27560,-29.314142433066735,55.95875046251831,,
27651,-28.56531418747909,56.087287702537765,,
27664,-26.56400669067807,62.512663624983105,,
27729,-26.261149513052732,62.41829268184155,,
27807,-26.47216889764655,62.231336307813294,,
27846,-24.8313404785336,62.10133157637534,,
28041,-21.211745431229136,64.62333481236021,,
28210,-17.949485845589443,66.21987935766214,,
28314,-18.088434495176553,66.32901377660104,,
28366,-18.33300023395139,66.50925519968854,,
28405,-16.652087885062574,66.47549114205938,,
28483,-15.4987490387218,67.56398732365199,,
28561,-12.979868247998311,67.65691403260185,,
28678,,,-23.282791881145094,31.300413353571766
28769,,,-24.1816585928906,30.728909554479152
28782,,,-26.455463315877715,28.361365332577105
28847,-11.890094841686441,67.21412238584868,,
28860,-11.83441360919307,67.17000478431606,,
28938,-12.568916364577962,67.54246811308873,,
28977,-12.497256693165182,67.49774211377057,,
29302,,,-27.260194063424716,28.763681102800636
29445,-12.354589985786369,67.38653056605878,,
29484,,,-27.779763031951735,29.116076600390702
29510,-11.124525576578817,66.85044902327422,,
29614,,,-29.853733312169787,27.298771130652383
29692,,,-29.937475859465778,27.369876913712655
29809,-10.290847733049086,66.71404844517664,,
29822,,,-29.86660963894683,27.286640037979204
29900,-10.087949365051827,66.56874787773607,,
29913,-12.589657445296544,66.3269300802533,,
29978,,,-29.712820528800368,27.21247882158359
30056,,,-29.767224951348034,27.250157521311234
30095,,,-27.813875209334075,28.863070442385865
30420,-11.973637189658257,66.9832329959415,,
30563,,,-26.027668154946294,31.694901788047535
30602,-9.276433328880012,67.41593159166555,,
30628,,,-26.143822185684694,31.643975310678126
30732,-8.605159901358201,68.31529356915544,,
30758,-11.562016381580397,67.61398702639822,,
30810,-8.311608429864064,69.04309326003451,,
30927,-8.107093125065804,68.893552898466,,
31018,-8.197967658272027,68.97230806784464,,
31031,-10.839979996249093,68.49586490605377,,
31096,-14.176401577048019,66.85253997259179,,
31174,-10.861728201998412,68.20033469842096,,
31213,-10.968296729592621,68.26709145296937,,
31512,-11.051760021900773,68.32914957671942,,
31551,-9.533761269871285,67.99829807603307,,
31694,-9.568701550822844,68.02689031062506,,
