step,train_return,train_std,test_return,test_std
962,,,,
988,,,,
1040,,,,
1053,,,,
1794,,,,
1833,,,,
1950,,,,
1963,,,,
2028,,,,
2041,,,,
2093,,,,
2132,-25.340803805597087,58.47376296599737,,
2795,-26.921020653652334,57.94366955225436,,
2879,-28.17307567343804,57.27028520593825,,
2912,-29.172286876061317,56.52204799906023,,
3002,-28.676468380517985,55.36753683894052,,
3019,-21.310693948007156,68.20307089188223,,
3040,-20.53786774854675,67.3038769300641,,
3059,-17.153751058916146,69.09780170097073,,
3074,-14.292418942801305,70.11745337167021,,
3082,-16.045325885825555,69.9101774149097,,
3088,-9.655012962200532,72.11772293887813,,
3095,,,,
3101,,,,
3122,,,,
3130,,,,
3135,,,,
3141,,,,
3169,,,,
3185,,,,
3212,,,,
3232,,,,
3254,,,,
3527,-11.107617748954727,71.78603052708178,,
3917,-8.79922632249633,72.39262655434466,,
3995,-10.189309179373682,72.0773163606871,,
4021,-8.750330196012307,71.84211910091747,,
4034,-10.03506417484757,71.5189576948097,,
4073,-11.33633713901347,71.24465735245306,,
4151,-12.652772007480646,71.01720024912466,,
4164,-13.774039743122325,70.6680163898786,,
4177,-14.147646893699553,69.97490905645667,,
4203,-14.941916087975818,69.47547066097714,,
4216,-12.451368191345537,70.9523982366916,,
4281,-9.4167966557396,71.66725979989654,,
4346,-8.172839750639104,71.13191115631479,,
4645,-8.208469600520038,71.16149421062141,,
4775,-8.161130721188092,71.1214275234836,,
4853,-11.968751208624745,69.03740385682374,,
4866,-13.629747714168333,69.36632048327925,,
4879,-15.441530833524594,69.54472751741714,,
4931,-15.654452584964165,69.68756572030337,,
5022,-15.620713211280236,69.665094810133,,
5035,,,,
5048,,,,
5074,,,,
5087,,,,
5113,,,,
5126,,,,
5139,,,,
5165,,,,
5178,,,,
5191,-16.312866211348155,69.96282988633293,,
5282,-17.26874352656392,69.34888536263496,,
5295,-16.143510225099455,69.04773836163093,,
5308,-15.968815678874963,69.14462787172182,,
5334,-15.454940647850744,68.86714789978359,,
5399,-15.417980210264213,68.83863474987734,,
5490,-15.298492904128507,68.75069695293134,,
5503,,,,
5599,-15.21425297495909,68.68568877040455,,
5676,-15.287917229244485,68.73721030789287,,
5736,-15.326767153954133,68.72356358432341,,
5826,-12.063262638589368,69.81170392316795,,
5906,-12.25734109303914,69.91787325375937,,
5955,-16.05373159253504,67.48809043781355,,
5967,-17.450674687805584,67.93643359251718,,
6002,,,,
6022,-17.447210466931573,67.93389355314426,,
6046,-17.732237832038663,68.12882295305224,,
6053,-19.425664058751426,67.60820666794923,,
6055,-17.266962551823816,67.74559390666785,,
6062,-16.90864707723347,67.55527283173576,,
6063,,,,
6071,,,,
6085,,,,
6103,,,,
6143,,,,
6188,,,,
6200,,,,
6249,,,,
6265,,,,
6427,,,,
6437,,,,
6448,,,-21.665922259563814,22.429223561988067
6508,,,,
6532,-17.07287064097909,67.66279339178651,,
6544,,,-21.485000142278015,22.012258881727597
6635,-16.850169554155727,67.55514367477558,,
6726,-18.304933427514914,67.69617069350384,,
6739,-23.69218369703478,59.80818626549718,,
6908,-25.098417350768287,59.962416110350645,,
7012,,,,
7025,-28.021905889529442,57.5748677912266,,
7168,-28.828698970963888,56.28168733091757,,
7207,-28.53313425015629,56.06423728303895,,
7246,-29.990002723503565,55.94904156578459,,
7259,-30.079673396493018,55.68824202386056,,
7298,-28.22685713864368,59.87045139723923,,
7441,-28.193814587103844,59.849076433673545,,
7506,,,,
7532,-25.16597825647594,62.4025392487743,,
7675,-27.653056103692215,61.76480825620608,,
7727,-27.648489526466292,61.762034621757465,,
7753,-27.585385997027917,61.72176793833231,,
7792,-27.460925244048994,61.63851650486198,,
8000,,,,
8104,-27.549358012669543,61.695960989983284,,
8143,-27.56791299759672,61.69734815469959,,
8286,-25.643563854445528,62.36888618721498,,
8364,-28.546971860996273,58.20099591364065,,
8403,-27.886031270681706,58.611962928452066,,
8442,-27.759265389594074,58.53153404664392,,
8507,,,,
8546,-27.526751362907525,58.39727710417559,,
8631,-27.17415022706875,58.21141372791559,,
8763,-26.54247552221903,57.93537716146548,,
8807,-24.677801792177195,58.113970699910894,,
8838,-24.08343979800382,57.82346571434102,,
8856,-22.521365812889126,57.85465130029843,,
8977,-22.59263075478637,57.90701115549474,,
9005,,,,
9047,-23.52934845689946,57.84722301317907,,
9107,-24.750685408024875,58.13130582904833,,
9118,-24.66333262823784,58.21168021797159,,
9147,-24.96497581705713,58.32998261985289,,
9156,-24.285731862366955,58.026162100645024,,
9162,-24.038821238966484,57.886995776956674,,
9171,,,-21.89729707069475,21.7028417455912
9185,-22.532357262147414,57.75064517560144,,
9195,,,-21.636650063119305,21.35475895741194
9205,,,-21.869229726385974,21.019403353704508
9211,,,-22.885412994668393,21.3783620679472
9223,,,-24.036207619383216,21.95498049950337
9293,,,-24.261168969959726,21.645480893191042
9353,,,-23.910675128009064,21.407011230837025
9430,,,-24.085536383014507,21.113761243674535
9446,,,-24.272214286805163,20.83839927522891
9500,,,-24.63760549365947,20.660338061450854
9530,,,-25.362957911393636,20.83876183120053
9563,,,-24.347227003649767,21.470898937934475
9659,-20.689118569640268,57.83170644291847,,
9755,,,-22.69504483987783,23.513992120842044
9885,-22.220571374723512,58.06868575981048,,
9898,-25.45747773671319,56.146948743861195,,
9963,-25.475364836308,56.15657278105718,,
9976,-25.4140996152375,56.11497243327268,,
9989,-25.278882192487654,56.007203810912415,,
10002,,,,
10106,-25.192415295060783,55.945761030358696,,
10223,-24.094950397484062,55.56860544134949,,
10249,-24.624714643619082,55.84376517332856,,
10496,-26.768057313714234,55.37968146761015,,
10509,,,,
10600,-27.120490994162974,55.544449549158465,,
10678,-26.788243571080383,55.364104183652756,,
10782,-26.613148821890935,55.32298488662406,,
10834,-26.6640383390995,55.35529575047292,,
10873,-26.728592207964393,55.39872069279392,,
10899,-25.338871327714877,55.26454089829778,,
11003,,,,
11016,-25.194615455949098,55.2050488427162,,
11042,-26.83733196693647,54.37752533347355,,
11094,-23.97436601871799,56.15750129046603,,
11120,-23.416289154106636,55.92240431385119,,
11276,-27.321461028858902,51.72837395451313,,
11354,-30.98416752808553,45.297884954761,,
11367,-30.716407209586468,45.128731673054574,,
11510,,,,
11575,-32.763591055765865,44.45823446728757,,
11708,-33.59744456487212,41.63052499538179,,
11792,-32.882036585043814,41.25866863628631,,
11888,-31.20978141861006,41.6138929929338,,
11944,-31.18802706575922,41.59627495274917,,
11974,-31.169560154555057,41.581164905764346,,
12004,-31.090090263755688,41.51104614855782,,
12050,-31.663966560279647,41.7262197531419,,
12059,-33.38609928303368,40.35737150859549,,
12067,-32.90672021068602,41.3165151609265,,
12098,-31.02705463038261,45.164756707670975,,
12174,-29.581658567324904,47.99061547651842,,
12202,-29.00096910596329,47.772234651944245,,
12250,,,-22.721708312052215,23.21880394231653
12294,-28.57958912689674,47.628564119643634,,
12309,-27.696287335627407,47.64620943298711,,
12314,,,-23.563886649614886,23.544305819897623
12338,,,-24.344110812352266,23.79274342032561
12346,,,-24.521626403650707,23.542581481784058
12366,,,-24.259524833292577,23.33689057086221
12378,-27.826272462356993,47.678751427574085,,
12404,,,-24.92469283306984,23.494163943516934
12440,,,-25.05092043825362,23.25281209193983
12447,,,-25.40982321959467,23.132541441623058
12503,,,,
12591,,,-25.665446871307722,22.95729508372651
12654,,,-26.130937818597587,22.949559031958845
12694,-29.62126696828024,47.28509870121251,,
12814,-29.525594134179105,47.273180740027186,,
12924,,,-24.535071102325457,25.316819563193388
12935,-31.19776406615709,47.07959437763216,,
12990,,,-24.303828836307513,25.026986837217077
13002,,,,
13086,-30.731409643513313,46.83885139500678,,
13134,-30.215761571151365,46.84523610523114,,
13182,,,-23.921489900583982,24.81678440402921
13221,-27.53366521600458,48.40883212837781,,
13299,-29.321334318917348,47.861525405733566,,
13325,-29.05303320284757,47.753132966791085,,
13507,,,,
13546,-29.075306425614386,47.75553942870352,,
13637,-24.317604945217667,56.43046001024748,,
13702,-22.851823804364745,58.2045127461986,,
13767,-24.701521609076504,58.059865146563766,,
13871,-23.569370451593045,57.74174799093161,,
14001,,,,
14027,-23.18992712651167,57.49155047638898,,
14092,-22.610095191009155,57.30233864147197,,
14196,-20.615557560955917,57.63018389821039,,
14261,-19.880192370203137,57.271596493698226,,
