step,train_return,train_std,test_return,test_std
585,,,,
676,,,,
715,,,,
741,,,,
793,,,,
858,,,,
1066,,,,
1079,,,,
1651,,,,
1677,,,,
1768,,,,
1807,,,,
1820,,,,
1885,,,,
2158,,,,
2171,-37.6395801655375,45.43152150260837,,
2743,-38.88099162128788,45.029396029714675,,
2755,-36.685475528693395,45.66594370837135,,
2777,-35.25505588253848,45.505599924202585,,
2787,-36.391365616011896,45.157270711895414,,
2841,-33.134723806141636,47.87035203101475,,
2865,-34.0870301737923,47.413843254534015,,
2907,-33.98900660391629,46.69321790097507,,
2913,-34.955574417312164,46.335318754068275,,
2943,-35.89853251155,45.99838886579439,,
2999,-36.33764813761809,45.42936172123625,,
3002,-36.05094216622185,44.389885220804864,,
3003,,,,
3007,,,,
3010,,,,
3034,,,,
3049,,,,
3085,,,,
3092,,,,
3140,,,,
3266,,,,
3276,,,,
3354,-36.656515534609206,43.994345173485925,,
3861,-36.23780884367993,43.5351311377208,,
3887,-36.73674503688623,43.132211872827185,,
3900,-35.81014650775564,43.04861709534356,,
3978,-33.57345747813551,45.013165569219545,,
4017,-34.38111497080212,44.831466706900954,,
4030,-32.87508607624445,45.477833347163845,,
4095,-33.68280023908146,45.32371191040542,,
4121,-34.29318539426762,45.043900920806834,,
4212,-32.2542130577726,46.76645591603051,,
4329,-33.049884518581095,46.630257682869555,,
4420,-28.924072966096574,50.40330890148112,,
4433,-28.830449644444162,50.335561951806504,,
4498,-28.993138010898257,50.45761230926074,,
4628,-29.063290351636823,50.51023113743996,,
4784,-29.02872646898788,50.483070176901784,,
5018,,,,
5044,,,,
5057,,,,
5083,,,,
5096,-28.940430376984295,50.4125030088815,,
5109,,,,
5122,-28.191339602198568,51.37171793931675,,
5135,,,,
5148,,,,
5161,-28.47173673753452,51.30660081440661,,
5174,-27.835565895781038,51.01652478786889,,
5187,,,,
5239,-27.39730284080666,50.7507677716149,,
5252,-25.9230450875574,50.829384822963455,,
5434,-29.112189969595637,48.74070909985384,,
5473,-28.429714640610037,48.448427087307294,,
5499,-32.39087339357298,46.1484914285526,,
5512,,,,
5560,-31.788975205671157,45.92866947957433,,
5726,-32.348570180568494,45.3608468684753,,
5757,-32.40586818851123,45.40815072325901,,
5938,-32.7109984508605,45.562100024514336,,
5962,-33.07642829672259,45.7809932835406,,
6005,,,,
6019,,,,
6027,-33.15842811093491,45.838402537479254,,
6034,-34.48867375881237,46.015721209525054,,
6046,-32.53061538667244,47.01765538471033,,
6091,-32.58898969379545,47.04576005024399,,
6103,-33.732568130505385,47.15369892349962,,
6118,,,,
6154,-31.424314753779328,48.08088648994546,,
