step,train_return,train_std,test_return,test_std
1568,,,,
1652,,,,
1708,,,,
1736,,,,
1792,,,,
1904,,,,
2100,,,,
2128,,,,
2156,-68.56744050958447,2.6773460530936535,,
2184,-68.58016095787752,2.563710846644115,,
2240,-24.787113553788263,55.09856726519159,,
3220,-26.24873667371917,54.68989979009282,,
3248,-27.455915868757682,54.162226699744,,
3612,-28.618313496611307,53.66051906626985,,
3892,-30.329016807497915,52.4839596249449,,
3948,-31.934997133573052,51.38086541916631,,
3976,-31.835438751522766,50.62397922458982,,
4032,-26.416907191529294,59.847167184987086,,
4060,-28.518788056315678,59.0470288214607,,
4312,-29.485152407442843,58.64186363679788,,
4368,-26.880017279388127,60.29300330601228,,
4396,-28.207042078547104,59.25107643705559,,
4424,-27.30489122852709,58.893847515499566,,
4480,-14.522634253582218,62.453977304209836,,
5236,-14.584238785287598,62.51101114641685,,
5348,-14.4332335091813,62.388284495323724,,
5488,-12.606459968393901,62.17069432407419,,
5572,-12.438056994831422,62.014338269717875,,
5684,-12.362185402220348,61.94795684937743,,
5824,-13.977165969243506,62.278531243031004,,
5908,-14.161157516470412,62.417858678626146,,
5964,-17.239926289046416,61.126952105701974,,
5992,-17.64833747322322,61.389291868852254,,
6048,-19.291329695606837,61.497573612661256,,
6132,-21.04152537836344,59.29588308970954,,
6188,-19.476822865294526,61.328498629021254,,
6244,-21.37150856115506,61.33125957801198,,
6272,-22.575624478837707,61.634928346428836,,
6300,-21.97138563519926,62.2827009987267,,
6440,-23.572390673598274,62.47515236973331,,
6608,-23.440340852560475,62.857761130856304,,
6664,-20.096623116717673,64.88722370727118,,
6720,-14.425288429795764,63.5596924063331,,
7476,,,,
7588,,,,
7728,,,,
7812,,,,
7896,,,,
7924,,,,
8064,,,,
8148,,,,
8204,,,,
8232,,,-21.551479279529303,30.389292373279392
8372,,,-21.19463525592194,29.119593305286667
8428,,,-21.646712706531755,28.02099613684508
8484,,,-21.575039107119665,27.002944114084674
8512,,,-18.883718372136354,27.963427787371433
8540,,,-17.732653457205743,27.44003406237097
8680,,,-18.992424450047753,27.09347409281185
8848,,,-17.95831475534329,26.253758198704336
8904,,,-18.947526211850345,25.9497413356327
8960,,,-20.012206156205917,26.11066288174142
9604,-14.600773575394415,63.68688660034562,,
9716,-14.456161671518348,63.5807294760386,,
9828,-15.20645690382924,63.57195094998935,,
9968,-16.68619075145107,59.93180322140412,,
10136,-16.04629216383677,59.49927637578382,,
10192,-18.983386906939558,58.301609255888835,,
10304,-18.750154647682795,58.13976323856049,,
10388,-16.410024022874424,59.296817624394436,,
10444,-17.967923976560122,59.542453930729856,,
10472,-17.766567991403864,60.11119000665661,,
10584,-20.114550156770274,59.74496822481413,,
10612,-21.816504735643974,58.813715547707815,,
10696,-23.316939525618217,59.042984079554905,,
10724,-23.674413400939667,59.26396823733421,,
10752,-24.222115245363675,59.521154166352886,,
