step,train_return,train_std,test_return,test_std
1616,,,,
1684,,,,
1692,,,,
1703,,,,
1710,-7.477534745865901,57.47708635151588,,
1716,2.3944670575093006,56.92358893796925,,
1747,3.351455324807347,52.75311037588305,,
1774,4.0013473029038025,49.375964189281376,,
1918,0.14884102358383838,47.81038549484127,,
2009,-7.249176435511802,50.495798102164414,,
2078,-12.583574710039477,51.01550103501228,,
2091,-4.587137338064218,55.579426806286655,,
2119,1.3679428719742712,57.24515238961373,,
2120,-3.4743876244173526,57.859844884757656,,
2137,3.486557131905559,61.66801494040851,,
2140,-1.099507445384723,62.295584812476434,,
2183,-1.6114947192221687,60.47028332772784,,
2221,-5.130840488223664,60.53153034112512,,
2304,-8.68009121175023,60.81093512153927,,
2338,-11.574766089337123,60.599299081177314,,
2373,-11.30019629968173,59.151606741347656,,
2390,-11.371084199399,57.79253088549619,,
2512,-12.292820830727761,56.687312657125666,,
2613,-14.612150200208347,56.59753747231308,,
2793,-16.46100699569613,56.18886466923851,,
2822,-18.38090894473439,55.92771024054128,,
2870,-19.98612444596225,55.48923261881597,,
2878,-21.82904933584869,55.32441357061149,,
3242,-20.411424902086303,54.87728748533034,,
3355,-21.89067343774694,54.5398010908857,,
3655,-23.440116090815117,54.31996470991775,,
3685,-24.29088776856246,53.6739105317832,,
3713,-25.57030946145275,53.347637724992765,,
3722,-26.849355749652226,53.06837191793181,,
3757,-21.024077802365355,62.36616951448285,,
3781,-22.08612821566728,61.81403267016132,,
3786,-23.431693725097126,61.505160154782715,,
3809,-24.140944855220848,60.843631571004785,,
3960,-25.27651067434551,60.46509027225475,,
4043,-26.141014503524627,59.948092305319165,,
4061,-23.574515999352414,61.397046631884244,,
4079,-24.573557685680207,60.99808581871084,,
4136,-22.373603484385036,61.94762753456401,,
4162,-20.462704943335936,62.50846648782167,,
4202,-21.34271671281032,62.085053103972726,,
4207,-22.45046818388648,61.85450080762812,,
4467,-17.294039123733626,70.4816177872785,,
4486,-18.26810246507777,70.06253730126289,,
4519,-18.052858865907854,69.3599611159629,,
4768,-18.987721099159995,68.97399889995233,,
4772,-18.41337639945011,68.7063434479019,,
4812,-16.606528669017578,68.51355583687918,,
4870,-19.291915140579682,67.61789003686951,,
4873,-21.61385394625233,67.33783445855128,,
4883,-21.270569424819964,67.38959153539743,,
4954,-23.507921321509883,66.78228081738565,,
4960,-24.240251622395363,66.62133485717254,,
5003,-24.165239099503427,66.66031370231174,,
5024,-24.854163143985943,66.90155350953972,,
5040,-24.6128641959797,66.7460456995317,,
5077,,,,
5140,-23.950696265946025,66.49665359026453,,
5155,,,,
5229,,,,
5300,,,,
5305,-25.89289236521345,64.72827165774837,,
5376,,,,
5405,-28.6883569263731,63.40914020258111,,
5420,-28.85148791397173,63.516414918509376,,
5436,,,,
5474,-31.509156123785104,60.749876595688924,,
5488,-31.29420556335394,60.63259286340556,,
5499,,,,
5506,-31.703243611122346,60.55516830170567,,
5553,,,,
5605,,,,
5658,,,,
5671,-31.522203998306974,60.46894178898583,,
5690,-25.844684121830543,69.06453134710226,,
5709,,,,
5748,-23.385302431015916,69.75638323640506,,
5850,-22.77774699696956,70.0385426561845,,
5947,,,,
5981,-21.83188202042262,70.48402680177179,,
6000,,,,
6021,,,,
6036,-21.67771267714663,70.46879721944627,,
6050,-20.64481001655518,70.16071163838001,,
6080,-20.30072748089757,70.00478700374406,,
6094,,,,
6097,-19.246212067056536,69.69920361914525,,
6122,-15.040679339043965,73.26222365951658,,
6173,,,,
6209,-14.4710683182868,72.93032165120329,,
6212,-14.447967374420534,72.94119154075398,,
6224,,,6.850874818835945,28.404799581158144
6264,-12.87553986682936,72.68601264241894,,
6277,-10.949926885701576,72.42405355091276,,
6294,,,2.9418335306078025,27.36354420885868
6323,-10.14703510358795,72.20150380716554,,
6338,-9.668580037405865,71.90506364066783,8.934478477783376,29.27914088187102
6353,,,4.580077877307112,29.712543000539196
6362,,,0.5013339831762317,30.2957360746665
6401,-9.332866547581126,71.66578730815259,,
6500,,,,
6587,,,-0.6188650009018193,28.936863578325653
6616,-10.528198514193015,68.99603865689595,,
6744,-10.434097420199246,68.93269333966525,,
6780,-8.544399730376904,68.51638344023745,,
6938,-8.100453311454505,68.31547210396927,,
6954,-7.886209848088966,68.14252175750426,,
6960,,,-1.445452655652819,27.713760815809437
7000,,,,
7020,-7.763357502878532,68.05419479649963,,
7102,,,-5.270484754280749,29.410673852426044
7141,,,-6.6694331357373535,28.669406989904513
7152,-9.203940291737489,66.95398695365837,,
7162,,,-3.222057850265677,30.293933622217573
7216,-8.75816296943885,66.6509711735009,,
7258,,,-2.431538499083303,29.415808876257042
7286,-11.185715482696017,65.94400303018926,,
7360,-12.44949642595735,65.13549996863591,,
7396,,,-3.5646178267213475,28.817828336726084
7466,,,2.94248557217439,38.19809590562965
7469,,,-1.1014496605609538,40.69449262958851
7500,,,,
7527,,,-4.019288286520717,41.498550815125945
7553,,,-5.973728107159549,41.33521620852233
7626,,,-7.076023501131085,40.6391349839076
7650,,,-7.812685670933888,39.848029043002235
7651,-12.241155621106977,64.99938827225908,,
7675,-9.753872168546033,65.0330659414473,,
7801,,,-9.065943300808675,39.41296988081771
7930,-14.827792321792069,56.21636984146077,,
7943,-14.077154828920163,55.8031802550025,,
7973,,,-10.016052281216284,38.85125737251577
8001,,,,
8041,-9.70824573102147,64.06881744709574,,
8062,-7.076773380530621,64.45306361683413,,
8148,-3.4064785776137883,67.81491565605168,,
8181,,,-9.1913001588783,38.28013292776903
8228,,,-10.801343397325608,38.390288196704674
8503,,,,
