step,train_return,train_std,test_return,test_std
748,,,,
1374,,,,
1581,,,,
1585,,,,
1647,-39.386867669256944,48.52111790267745,,
1959,-43.78198745450917,45.37070778675947,,
1965,-46.640591181938404,42.584729979165296,,
1975,-33.47607782065424,52.91415413903564,,
1986,-35.224872939430185,50.13255555741278,,
2006,-38.07729345103631,48.323622991458876,,
2014,-40.23622389526929,46.57782662397175,,
2055,-33.739666174514156,49.527372798670726,,
2060,-36.28180102466903,48.39236272634519,,
2065,-38.74990603988832,47.47354957066358,,
2070,-41.03245927270401,46.65221757392274,,
2090,-38.27106031704951,46.41963409661565,,
2177,-35.14308469011291,46.73947182414193,,
2291,-37.04619555502362,46.09537824736825,,
2308,-38.70998379608319,45.41784459891648,,
2441,-39.8750075992384,44.5581631846198,,
2470,-39.13370849467013,43.610504610464524,,
2479,-38.33210991022665,42.7658855196815,,
2480,-39.78323846319163,42.37605091542484,,
2497,-39.46156087173876,41.51249907673536,,
2555,-40.2210441438642,40.84359965266818,,
2567,-40.35220994354822,40.05581380938751,,
2647,-41.493559621973425,39.73553985219543,,
2659,-42.47834042892232,39.3536248675545,,
2869,-43.170593938645155,38.84227196136263,,
2955,-43.901906382848274,38.39194021653658,,
3085,-44.500238518071185,37.90955852639923,,
3133,-41.28679930532506,41.38038314644219,,
3245,-41.8976263050966,40.894824174859316,,
3386,-42.71138671084501,40.559235689868075,,
3502,-43.47953882104405,40.22576395865607,,
3531,-44.16289656366845,39.86864370988354,,
3681,-41.96157308787895,41.48492204292678,,
3691,-42.62664636204944,41.13484225029973,,
3900,-43.44567655287548,40.91673862120105,,
3993,-43.26696159041882,40.41745457577979,,
4096,-43.945775119642406,40.15169934733752,,
4173,-39.92635120073574,47.28806125820514,,
4181,-38.63619536874456,47.47700587075234,,
4296,-38.34316720466463,46.97371103576945,,
4407,-38.82119186241434,46.556952995022186,,
4418,-39.47424579604906,46.25603525591102,,
4427,-37.546611461007046,47.59225315954091,,
4438,-38.17855892803062,47.29275206663035,,
4511,-37.035983155569696,47.472333219675,,
4518,-35.48687885411357,48.23003686082113,,
4621,-35.01539159573597,48.084336018910356,,
4733,-33.62917763089975,48.250534909238844,,
4761,-33.734850413608264,48.32518685965048,,
4806,-32.607003533306276,48.256922438592674,,
4914,-34.32386163756379,46.51140335422823,,
4935,-34.25872982504731,46.46960120921481,,
4991,-34.4234441866626,46.58843659754603,,
5025,-36.91858022547617,44.843648082426995,,
5042,-37.35670567087628,45.06809812336313,,
5075,,,,
5092,-37.37013810251216,45.07606168481647,,
5096,-34.86993007317578,47.07297717659982,,
5122,-36.982816211861845,46.12869321447637,,
5130,-37.0348926750748,46.16376782979522,,
5146,,,,
5165,-36.5724155046053,45.93811081110527,,
5204,,,,
5230,-35.43944467532642,45.724080019247296,,
5253,-36.76104857567589,45.54423102715011,,
5260,,,,
5294,-38.35393955644574,45.09999455202589,,
5313,,,,
5320,-38.075743679927236,44.95028923904882,,
5362,,,,
5405,,,,
5455,,,,
5474,-37.3902428815331,44.73953062241174,,
5485,-36.82816664640736,44.60301870491194,,
5501,,,,
5542,,,,
5584,,,,
5611,-33.93249763552804,49.727250388771104,,
5641,,,,
5671,,,,
5680,-31.24634201522629,53.78805343527629,,
5702,,,,
5737,,,,
5805,-30.216546142607296,53.495640530501184,,
5826,-27.61794748309964,56.418705486177515,,
5850,-26.011938973860815,56.66061696049724,,
5915,,,42.769708138127065,93.2493711785337
5934,-23.54539123788281,58.49458335780874,,
5946,,,38.90218592382826,85.56280146604072
5956,-19.59928213575641,61.71531574699634,,
5987,,,46.65138760603389,81.45819549243433
5988,-17.896646531491605,61.501034110325655,,
6000,,,,
6036,,,45.60758900867491,76.24719352117907
6084,-15.42287014168076,62.139303326245624,,
6089,,,35.58528762267579,77.27384634748942
6098,-14.614788491064058,61.749391549270854,,
6170,,,29.57239647367939,75.49514114251974
6221,-14.046958565965308,61.43664792191045,,
6250,,,29.086897965518325,71.99816369466826
6287,,,28.18491552476789,68.99787610024579
6315,,,31.675288293937818,67.3846503856259
6345,,,28.970709171958458,65.66161554082304
6348,-13.405390874428354,62.34981759916683,,
6409,,,27.18878868542784,63.78456924486706
6500,,,,
6570,,,24.79462889716406,62.45135575405671
6585,,,20.282207076094565,63.21820286833805
6622,-12.677425346745181,61.996173083221485,,
6657,-11.610668947697,61.464742540901646,,
6684,-11.096209878874733,61.0837165225509,,
