step,train_return,train_std,test_return,test_std
1331,,,,
1445,,,,
1560,,,,
1595,,,,
1596,-17.911150507452426,59.67965075710814,,
1605,-4.970192481186575,61.687864030103505,,
1666,-13.978861945987063,61.226642991047655,,
1744,-20.42706797119206,59.759263817951144,,
1861,-25.79230861887188,58.34945969039475,,
1920,-30.090512881466815,56.8371756906675,,
2044,-22.17128108456499,59.69864544888979,,
2049,-17.91282971371332,58.87624932789017,,
2058,-21.754020220728272,58.11043396498338,,
2079,-25.160425772985793,57.327722003729875,,
2091,-27.885512563441143,56.31460942785337,,
2102,-25.435587053750456,55.34581111402145,,
2114,-27.69576584140638,54.44912787250198,,
2153,-29.92236620104639,53.7055238141433,,
2157,-28.8722714152401,52.46262943877086,,
2222,-28.16721177865399,51.22651838628128,,
2436,-28.30620298706179,49.995827213081554,,
2604,-30.287691053551644,49.68317155351721,,
2633,-31.968306958899912,49.22634833233622,,
2656,-32.835205372342834,48.36889608839308,,
2765,-34.00926032662078,47.73939489890218,,
2782,-35.23822883994957,47.21390846954016,,
2865,-36.417518601411814,46.719918214408985,,
2940,-31.415330379111115,52.72936869576491,,
3133,-32.67761998206444,52.24103208946059,,
3143,-33.94334852978686,51.81326644710518,,
3210,-32.92507322007406,51.27495146550485,,
3263,-31.317228048688378,51.25525120898384,,
3473,-32.45568690194853,50.88188770078103,,
3608,-33.55829491456317,50.52662653251434,,
3629,-34.413220062894325,50.04846995198515,,
3671,-34.333178864010264,49.35072873675341,,
3772,-35.24545714784081,48.98603181691046,,
4048,-36.06006354847307,48.590489948855016,,
4114,-33.02288031671818,51.48812146082763,,
4169,-34.01498922242361,51.216578452940766,,
4222,-31.795408364204054,52.499719070648105,,
4244,-29.741698879384472,53.51189431694628,,
4285,-28.428431303931788,53.56645864309191,,
4291,-29.159480220180004,53.17079308937257,,
4312,-28.638151901981978,52.690288632416156,,
4342,-29.41824819721432,52.37649908683501,,
4483,-29.466150639078997,51.817325046432565,,
4573,-29.290467824652946,51.288864009316875,,
4646,-30.06873028362017,51.04837083487008,,
4709,-28.94780944057154,51.14082669334929,,
4732,-29.024858392034286,51.19554232203694,,
4788,-29.082411864828522,51.234531180034324,,
4823,-28.991511596506616,51.16454892146133,,
4858,-30.53771405543922,49.17640043564803,,
4860,-32.51689694925415,48.5475737476407,,
4942,-34.38465576760845,46.72469859578882,,
5011,-34.009940815875936,46.52807890612501,,
5075,,,,
5096,-31.6836983201233,47.78298619559517,,
5137,-31.354807215144447,47.58314870720663,,
5146,,,,
5209,,,,
5227,-30.26667595341621,47.33644200898805,,
5244,-29.55872304348206,48.876257953038404,,
5251,-31.273389168086037,48.29466615636238,,
5269,,,,
5297,-31.140822050361763,48.20309787199588,,
5321,,,,
5358,-30.785422360738043,47.984394568156716,,
5375,,,,
5391,-30.532086061477006,47.83080635297935,,
5419,,,,
5462,,,,
5505,,,,
5528,,,,
5542,-32.08877025045545,47.710019554811645,,
5551,,,,
5601,,,,
5692,-30.209061951004877,48.26946967247838,,
5774,-27.61410724429063,49.648119935898585,,
5797,-26.51947207336301,50.61892312220329,,
5803,-25.491677704733753,51.36328401815532,,
5882,,,,
5919,,,,
5926,-26.24246901826787,51.71274519208705,,
6000,,,,
6043,-25.49576795675106,51.31612909430949,,
6060,,,,
6075,-22.414687915089143,53.205103206730875,,
6085,-21.526776306292525,53.06129882539927,,
6102,-20.401561501862734,52.782939650035566,,
6138,,,-23.80659983137163,29.057661122050604
6140,,,-21.031755141856348,27.24191391020949
6167,-20.193902913183635,52.62346895000131,,
6172,-17.877958920565224,53.05543286045922,,
6183,,,-15.563335028438063,28.557418899710438
6190,-18.847150246265993,51.23817561144484,,
6246,-17.979184584161604,50.763193395901304,,
6256,-17.49524802639231,50.37260345967432,,
6257,,,-7.056319677854688,34.930940062676164
6288,-18.858417031708797,50.86486483693336,,
6307,,,-5.814912324918511,33.11985512053109
6345,,,-10.06810506146923,33.91222727826503
6422,,,-14.509524271681373,35.25269054312101
6500,,,,
6546,-20.43631824820699,50.90437671149182,,
6633,-16.448156948776944,54.62754269596707,,
6797,-16.025278829008425,54.29259750047241,,
6907,-12.875258039767909,55.990392848583575,,
6946,,,-11.981777761413918,34.7774932191328
6955,,,-14.685113671306697,34.70063213987452
7000,,,,
7012,-13.316294140239473,56.22198486326818,,
7019,-13.114755821124199,56.043062598102054,,
7045,-11.446172954355673,55.6784806554664,,
7066,-11.892425766895833,55.010015082191295,,
7088,,,-15.832343128189283,33.693234769711054
7108,-6.766425307095911,60.74657536273751,,
7112,,,-13.90821269465141,33.337421749701555
7170,-6.920233878719343,60.59450234479403,,
7261,,,-15.080644275048677,32.59664316338148
7277,,,-16.311068956693788,32.00409104397896
7290,-9.312289063664753,60.48484527215565,,
7500,,,,
7546,-7.560625914540733,62.729802266493884,,
7552,,,-14.819146279570784,31.704850945323493
7580,,,-12.828417592471816,31.99416276012145
7582,,,-15.151297136114014,32.78665500316008
7627,-7.523086951858527,62.69860813756044,,
7689,,,-16.39772658795163,32.4784186256309
7743,,,-17.850674801994344,32.42271246414592
7827,,,-19.770668376139955,32.96402264923791
7872,,,-19.024105340716883,32.467982219669494
7920,-7.0635275621329665,62.79442581117065,,
7972,,,-19.652452516665996,31.960581327702116
7989,-4.738480160853908,62.776080559798814,,
8000,,,,
8228,-4.68284781878192,62.75341786563323,,
8243,,,-18.209947927457904,32.15916045985049
8249,,,-18.834647826623048,31.718353790173506
8262,-3.685790009532294,62.88162450653028,,
8318,-0.043019381378936995,64.34237156976955,,
8500,,,,
8515,-0.18065456890213347,64.2939062561733,,
8519,0.6284492983320902,63.69657262325087,,
8553,6.2839609357292385,69.85745565769085,,
8605,7.481445658942382,69.1142172003586,,
8780,9.112784707171402,69.78548062477662,,
9001,,,,
9076,,,-19.934868913967794,31.667121786476713
9131,12.124980294400508,69.7510956409053,,
9161,12.705691871505785,69.48792275650729,,
9199,18.117162144274356,74.78272997716718,,
9257,16.57041869302633,74.89154274892987,,
9266,16.353565741242395,75.10595027575407,,
9307,17.770880284512828,75.18144963151416,,
9500,,,,
9584,14.794316630577205,75.113242026106,,
9631,15.729668884315329,74.50456827055207,,
9645,15.907594748184733,74.33101143696476,,
9768,16.933866745649055,73.74275645318234,,
9783,19.674589233574544,73.62536423614527,,
9816,23.834157632052978,74.50785550013407,,
9920,22.418445952185508,75.04539404639871,,
9965,19.95276313036995,75.72748769037324,,
9976,18.245372360190856,76.11032125443168,,
10000,,,,
10032,17.971844538629128,76.06836305478747,,
10072,18.176921769982513,75.84812660381672,,
10085,17.96572911080391,76.00921501630287,,
10108,15.787189242173488,75.61345277393151,,
10260,14.915788450730147,76.13617734547299,,
10327,14.73123517940591,76.19763262348488,,
10361,16.16971923853725,75.53270829090766,,
10377,19.588764983122577,80.62606877789982,,
10401,22.89490349449079,85.27324778420767,,
10458,22.49874973007875,85.5386806420696,,
10470,23.040754526952366,85.18519002483208,-21.07478522073518,31.695591514459004
10492,26.21369967410468,84.59317298114289,,
10501,,,,
10635,,,-22.28674504820259,31.838970714333414
10678,,,-21.881082557672134,31.39994061877124
10753,30.156381330118275,85.05857021259473,,
10827,,,-22.87873528802069,31.40063339296583
10909,27.114156449650316,84.12962699440646,,
11001,,,,
11024,,,-23.53988364312187,31.14656875262821
11029,29.024550941396633,83.46598817499809,,
11137,25.920973916882044,83.87555950711125,,
11204,,,-23.14639043481992,30.7682588519019
11293,,,-22.559523063992295,30.517988809628278
11341,,,-22.07308439141532,30.228441302120007
11419,,,-21.92510655976115,29.83036693122317
11501,,,,
11563,26.23988065061084,83.60253468309632,,
11582,27.022136866709342,82.99130833490385,,
11684,29.262573990088562,84.1999537483429,,
11716,27.411489431551146,84.5189301111729,,
11739,23.052811126891854,81.93208917741894,,
11781,20.963532455011258,82.56568240746503,,
11904,24.661988389931984,82.76729054316783,,
11914,23.498419056163016,81.9032187673559,,
11938,23.857614330114266,81.58061074165818,,
11997,23.094164826845795,81.81688062469942,,
12000,,,,
12090,22.091650807470657,81.76694570677508,,
12382,22.885402771140594,81.46026643922897,,
12418,23.54089111048657,81.63705086643282,,
12492,20.95534409089981,80.7509448320519,,
12501,,,,
12527,24.98865705756418,85.45657323458597,,
12584,27.747443711558347,85.96537448238732,,
12592,22.77080682859174,81.93953850062073,,
12639,22.016713690710894,82.3760155537105,,
12693,20.829903750321865,81.99240504037165,,
12749,20.001709867405083,81.5466880528202,,
12824,20.480023295807165,81.47098308687144,,
12875,15.380759490826392,76.57542393711063,,
12898,15.162701999930592,76.71003415303713,,
12907,19.466514512658307,78.21946403396433,,
12979,18.014082357895898,78.19259357168585,,
13000,,,,
13105,19.055780824315566,77.53837420687928,,
13174,19.966192516553065,77.45865288865004,,
13295,21.637326583535142,76.7793762057556,,
13342,20.31956993036406,77.70543612965906,,
13500,,,,
13551,18.00695107699988,77.50615214253857,,
13604,14.281421236175763,75.94382940128074,,
13619,14.218223367895353,75.99082272119945,,
13655,14.988755848268546,75.41420308441819,,
13658,17.300394224063552,75.44601493129782,,
13669,17.52117457877028,75.47834685889259,,
13681,18.03812716320149,75.04405063476494,,
13748,18.73930013467642,74.61317302472374,,
13762,,,-18.807430018398634,35.01528558756374
13784,19.00607348048945,74.48428154066383,,
13812,18.876912946610858,74.61269766679831,,
13838,17.96075462721039,75.30296877909214,,
13850,,,-18.55215087635221,34.59926140022691
13857,19.126353600075994,75.71883629183571,,
13879,15.127698050149688,70.09280868715292,,
14000,,,,
14058,10.54259178228498,63.7174423654343,,
14128,,,-18.537723904823583,34.16415203935249
14145,,,-18.672847472448503,33.75576378010389
14213,,,-18.321050982454206,33.427473434888086
14242,11.095106787079024,63.3571086270649,,
14257,14.328142542010525,65.79833501468123,,
14263,,,-18.107061686223748,33.06559037436287
14271,,,-18.238148814832126,32.698986045227905
14388,,,-17.886322555304154,32.417735231208596
14438,11.591684435065059,65.51740229816092,,
14465,,,-17.86285054904619,32.0638190122939
14500,,,,
14543,8.344799607296622,63.21593277140872,,
14553,8.582782737166099,63.12512636523646,,
14585,7.658646155470361,62.897872166171354,,
14609,,,-17.34353824938345,31.915823483653945
14649,,,-16.244435479334726,32.468073661708786
14704,9.88256393657758,62.38909949687892,,
14708,10.000221712556918,62.30486083977151,,
14826,,,-16.059828671803544,32.160501234261865
14867,,,-15.69793698039343,31.937895939861964
14889,9.729636334556321,62.45896274034313,,
14969,,,-14.249550542069606,31.351927740697864
14970,,,-14.544269464958296,31.570138365731783
15000,,,,
15023,,,-15.003327316913458,32.06807171222402
15070,,,-16.47249908816079,31.986530127738213
15162,8.384858846701109,60.56630245815161,,
15181,,,-16.146567958168017,32.13673506796399
15195,9.141266510312768,60.28678417249441,,
15250,,,-16.433045433025356,32.11916602037448
15301,9.041617297739853,60.362644798568745,,
15369,9.876819756537564,59.754295794695736,,
15426,11.91500198901933,64.97798227793669,,
15489,10.203463325944597,64.91774577295377,,
15501,,,,
15626,,,-16.884682334855317,31.799578205813226
15741,10.787452202592712,64.58717456233738,,
15752,14.161132958493154,67.19702262313393,,
15786,,,-18.318126639311608,30.21587432817263
15791,,,-18.118019350125454,30.396377548252193
15893,13.224986253939003,67.68967782921585,,
16000,,,,
16242,13.167251590787277,67.69295295021671,,
16268,16.17362610859841,72.91357523583942,,
16332,15.534289908187297,73.31931386082596,,
16500,,,,
16646,12.63726691307795,67.80761014967392,,
16653,9.283204920491912,66.99480957891619,,
16689,11.533392604138541,67.48349509174234,,
16712,11.217688987494487,67.7788895349607,,
16750,10.178883061421557,68.05956479246181,,
16761,9.483135498424387,67.89075408866307,,
16789,8.51146265055274,68.09070608240994,,
16880,11.790378208600407,69.90308515603029,,
16925,15.339943341208887,71.7909983243627,,
16950,11.798087431785182,69.28221093252809,,
16956,13.533924045974116,69.64720272300599,,
17000,,,,
17048,12.691625364704278,70.1112053615283,,
17101,11.580220558752847,70.18148999382232,,
17219,13.335540674755608,71.73152601629955,,
17351,14.21561380113887,71.01609081753418,,
17366,14.045522143017266,71.1365768452424,,
17497,13.66969358848147,71.49531172934002,,
17500,,,,
17648,16.439615083204096,71.8961318566525,,
17764,21.323652307595548,77.16701553202039,,
17905,21.40302501766413,77.22417799326925,,
17943,19.604128707153826,77.95437852711719,,
17952,24.634552637753885,82.41592087611136,,
18001,,,,
18004,23.681967942038746,83.08402829450293,,
18136,,,-17.960802871268115,30.259642507935453
18173,24.0216394705265,82.97833522660873,,
18181,24.598748140460717,82.50202399479065,,
18266,24.739124330957974,82.36217767270436,,
18307,23.32954769870698,82.09903657333662,,
18330,22.43999662720359,82.37363595899279,,
18339,21.527670679810043,82.96467498413733,,
18413,26.330045280243553,87.43589199954117,,
18490,24.80925967275168,86.05598687266732,,
18500,,,,
18557,25.238527613039526,85.7411362672948,,
18595,25.371956034731376,85.66710997511382,,
18744,25.158380934749548,85.76750971453231,,
18751,24.260348955354733,86.25455359203266,,
18892,22.938023065644146,86.35598084579222,,
