action_repeat,delta_x,delta_y,delta_radius,name
7,0.1841276660779516,0.14948783095079757,0.09593388945788589,lhs_000
5,0.2260905552840285,0.05491705280291025,0.06508201375606401,lhs_001
3,0.15081159470265293,0.06480183057348085,0.0839890459993194,lhs_002
5,0.0745801803086817,0.2908793069196257,0.07129737751758977,lhs_003
3,0.19323173474688637,0.08375360136828269,0.09030925111520936,lhs_004
8,0.22344645904375543,0.1291171948163296,0.05741124195370299,lhs_005
6,0.20770403057172648,0.21253487580263486,0.03607665864489508,lhs_006
3,0.2918692590466523,0.11639441586786325,0.06244431430408358,lhs_007
2,0.26598139574757396,0.1684330709690534,0.02275903249776418,lhs_008
7,0.1263814020706375,0.08832445605054688,0.09856881921316372,lhs_009
4,0.12097663261155073,0.18007124962250376,0.054648355097971474,lhs_010
5,0.10137157059994009,0.20966053008083274,0.02550725142125583,lhs_011
4,0.07709194815433254,0.2526612711563915,0.05104252222802819,lhs_012
3,0.2867678995649351,0.15829853674317923,0.08739888213242064,lhs_013
1,0.14004594662140885,0.28461697238757816,0.04379191479574236,lhs_014
6,0.24751858694363432,0.11136558692976098,0.0736786704560526,lhs_015
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016
8,0.09868130900537214,0.2671361481057536,0.03229138178772853,lhs_017
2,0.05056761882886579,0.19375130232890442,0.0782990855006037,lhs_018
1,0.16256129368455846,0.2381382040632779,0.04615981944276362,lhs_019
